id,votewatch_mep_id,first_name,last_name,country_code,national_party,ep_group,source
27,27,Margrete,AUKEN,DNK,Socialistisk Folkeparti,Group of the Greens/European Free Alliance,votewatch
53,53,Bendt,BENDTSEN,DNK,Det Konservative Folkeparti,Group of the European People's Party (Christian Democrats),votewatch
116,116,Ole,CHRISTENSEN,DNK,Socialdemokratiet,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
316,316,Anne E.,JENSEN,DNK,"Venstre, Danmarks Liberale Parti",Group of the Alliance of Liberals and Democrats for Europe,votewatch
321,321,Dan,JØRGENSEN,DNK,Socialdemokratiet,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
396,396,Morten,LØKKEGAARD,DNK,"Venstre, Danmarks Liberale Parti",Group of the Alliance of Liberals and Democrats for Europe,votewatch
446,446,Morten,MESSERSCHMIDT,DNK,Dansk Folkeparti,Europe of freedom and democracy Group,votewatch
550,550,Jens,ROHDE,DNK,"Venstre, Danmarks Liberale Parti",Group of the Alliance of Liberals and Democrats for Europe,votewatch
555,555,Anna,ROSBACH,DNK,Miljøpartiet Fokus,European Conservatives and Reformists Group,votewatch
576,576,Christel,SCHALDEMOSE,DNK,Socialdemokratiet,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
611,611,Søren Bo,SØNDERGAARD,DNK,Folkebevægelsen mod EU,Confederal Group of the European United Left - Nordic Green Left,votewatch
654,654,Britta,THOMSEN,DNK,Socialdemokratiet,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
672,672,Emilie,TURUNEN,DNK,Socialdemokratiet,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
846,846,Claus,LARSEN-JENSEN,DNK,Socialdemokratiet,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
849,849,Rina Ronja,KARI,DNK,Folkebevægelsen mod EU,Confederal Group of the European United Left - Nordic Green Left,votewatch
