vote_id,member_id,position,country_code,group_code
169362,37312,FOR,DNK,SD
169362,96709,DID_NOT_VOTE,DNK,RENEW
169362,101585,FOR,DNK,SD
169362,111412,FOR,DNK,GREEN_EFA
169362,124875,ABSTENTION,DNK,PFE
169362,197558,FOR,DNK,RENEW
169362,197573,FOR,DNK,GREEN_EFA
169362,199941,FOR,DNK,SD
169362,257020,FOR,DNK,RENEW
169362,257023,FOR,DNK,GUE_NGL
169362,257025,FOR,DNK,ECR
169362,257028,FOR,DNK,EPP
169362,257033,FOR,DNK,EPP
169362,257038,FOR,DNK,RENEW
169362,257044,FOR,DNK,GREEN_EFA
169401,37312,FOR,DNK,SD
169401,96709,FOR,DNK,RENEW
169401,101585,FOR,DNK,SD
169401,111412,FOR,DNK,GREEN_EFA
169401,124875,FOR,DNK,PFE
169401,197558,FOR,DNK,RENEW
169401,197573,FOR,DNK,GREEN_EFA
169401,199941,FOR,DNK,SD
169401,257020,FOR,DNK,RENEW
169401,257023,FOR,DNK,GUE_NGL
169401,257025,DID_NOT_VOTE,DNK,ECR
169401,257028,FOR,DNK,EPP
169401,257033,FOR,DNK,EPP
169401,257038,FOR,DNK,RENEW
169401,257044,FOR,DNK,GREEN_EFA
169418,37312,FOR,DNK,SD
169418,96709,FOR,DNK,RENEW
169418,101585,FOR,DNK,SD
169418,111412,FOR,DNK,GREEN_EFA
169418,124875,FOR,DNK,PFE
169418,197558,FOR,DNK,RENEW
169418,197573,FOR,DNK,GREEN_EFA
169418,199941,FOR,DNK,SD
169418,257020,FOR,DNK,RENEW
169418,257023,FOR,DNK,GUE_NGL
169418,257025,DID_NOT_VOTE,DNK,ECR
169418,257028,AGAINST,DNK,EPP
169418,257033,AGAINST,DNK,EPP
169418,257038,FOR,DNK,RENEW
169418,257044,FOR,DNK,GREEN_EFA
169419,37312,FOR,DNK,SD
169419,96709,FOR,DNK,RENEW
169419,101585,FOR,DNK,SD
169419,111412,FOR,DNK,GREEN_EFA
169419,124875,FOR,DNK,PFE
169419,197558,FOR,DNK,RENEW
169419,197573,FOR,DNK,GREEN_EFA
169419,199941,FOR,DNK,SD
169419,257020,FOR,DNK,RENEW
169419,257023,FOR,DNK,GUE_NGL
169419,257025,DID_NOT_VOTE,DNK,ECR
169419,257028,AGAINST,DNK,EPP
169419,257033,FOR,DNK,EPP
169419,257038,FOR,DNK,RENEW
169419,257044,FOR,DNK,GREEN_EFA
169541,37312,FOR,DNK,SD
169541,96709,FOR,DNK,RENEW
169541,101585,FOR,DNK,SD
169541,111412,AGAINST,DNK,GREEN_EFA
169541,124875,ABSTENTION,DNK,PFE
169541,197558,FOR,DNK,RENEW
169541,197573,AGAINST,DNK,GREEN_EFA
169541,199941,FOR,DNK,SD
169541,257020,FOR,DNK,RENEW
169541,257023,AGAINST,DNK,GUE_NGL
169541,257025,DID_NOT_VOTE,DNK,ECR
169541,257028,FOR,DNK,EPP
169541,257033,FOR,DNK,EPP
169541,257038,FOR,DNK,RENEW
169541,257044,AGAINST,DNK,GREEN_EFA
169544,37312,FOR,DNK,SD
169544,96709,FOR,DNK,RENEW
169544,101585,FOR,DNK,SD
169544,111412,FOR,DNK,GREEN_EFA
169544,124875,ABSTENTION,DNK,PFE
169544,197558,FOR,DNK,RENEW
169544,197573,FOR,DNK,GREEN_EFA
169544,199941,FOR,DNK,SD
169544,257020,FOR,DNK,RENEW
169544,257023,FOR,DNK,GUE_NGL
169544,257025,DID_NOT_VOTE,DNK,ECR
169544,257028,FOR,DNK,EPP
169544,257033,FOR,DNK,EPP
169544,257038,FOR,DNK,RENEW
169544,257044,FOR,DNK,GREEN_EFA
169565,37312,FOR,DNK,SD
169565,96709,FOR,DNK,RENEW
169565,101585,FOR,DNK,SD
169565,111412,FOR,DNK,GREEN_EFA
169565,124875,ABSTENTION,DNK,PFE
169565,197558,FOR,DNK,RENEW
169565,197573,FOR,DNK,GREEN_EFA
169565,199941,FOR,DNK,SD
169565,257020,FOR,DNK,RENEW
169565,257023,FOR,DNK,GUE_NGL
169565,257025,DID_NOT_VOTE,DNK,ECR
169565,257028,FOR,DNK,EPP
169565,257033,FOR,DNK,EPP
169565,257038,FOR,DNK,RENEW
169565,257044,FOR,DNK,GREEN_EFA
169623,37312,ABSTENTION,DNK,SD
169623,96709,DID_NOT_VOTE,DNK,RENEW
169623,101585,ABSTENTION,DNK,SD
169623,111412,AGAINST,DNK,GREEN_EFA
169623,124875,ABSTENTION,DNK,PFE
169623,197558,DID_NOT_VOTE,DNK,RENEW
169623,197573,AGAINST,DNK,GREEN_EFA
169623,199941,ABSTENTION,DNK,SD
169623,257020,DID_NOT_VOTE,DNK,RENEW
169623,257023,AGAINST,DNK,GUE_NGL
169623,257025,DID_NOT_VOTE,DNK,ECR
169623,257028,FOR,DNK,EPP
169623,257033,FOR,DNK,EPP
169623,257038,DID_NOT_VOTE,DNK,RENEW
169623,257044,AGAINST,DNK,GREEN_EFA
169676,37312,FOR,DNK,SD
169676,96709,FOR,DNK,RENEW
169676,101585,FOR,DNK,SD
169676,111412,FOR,DNK,GREEN_EFA
169676,124875,ABSTENTION,DNK,PFE
169676,197558,FOR,DNK,RENEW
169676,197573,FOR,DNK,GREEN_EFA
169676,199941,FOR,DNK,SD
169676,257020,FOR,DNK,RENEW
169676,257023,FOR,DNK,GUE_NGL
169676,257025,DID_NOT_VOTE,DNK,ECR
169676,257028,FOR,DNK,EPP
169676,257033,FOR,DNK,EPP
169676,257038,FOR,DNK,RENEW
169676,257044,FOR,DNK,GREEN_EFA
169701,37312,FOR,DNK,SD
169701,96709,FOR,DNK,RENEW
169701,101585,FOR,DNK,SD
169701,111412,FOR,DNK,GREEN_EFA
169701,124875,AGAINST,DNK,PFE
169701,197558,FOR,DNK,RENEW
169701,197573,FOR,DNK,GREEN_EFA
169701,199941,DID_NOT_VOTE,DNK,SD
169701,257020,FOR,DNK,RENEW
169701,257023,FOR,DNK,GUE_NGL
169701,257025,AGAINST,DNK,ECR
169701,257028,FOR,DNK,EPP
169701,257033,FOR,DNK,EPP
169701,257038,FOR,DNK,RENEW
169701,257044,FOR,DNK,GREEN_EFA
169770,37312,FOR,DNK,SD
169770,96709,FOR,DNK,RENEW
169770,101585,FOR,DNK,SD
169770,111412,FOR,DNK,GREEN_EFA
169770,124875,ABSTENTION,DNK,PFE
169770,197558,FOR,DNK,RENEW
169770,197573,FOR,DNK,GREEN_EFA
169770,199941,DID_NOT_VOTE,DNK,SD
169770,257020,FOR,DNK,RENEW
169770,257023,FOR,DNK,GUE_NGL
169770,257025,FOR,DNK,ECR
169770,257028,FOR,DNK,EPP
169770,257033,FOR,DNK,EPP
169770,257038,FOR,DNK,RENEW
169770,257044,FOR,DNK,GREEN_EFA
169808,37312,FOR,DNK,SD
169808,96709,FOR,DNK,RENEW
169808,101585,FOR,DNK,SD
169808,111412,FOR,DNK,GREEN_EFA
169808,124875,ABSTENTION,DNK,PFE
169808,197558,FOR,DNK,RENEW
169808,197573,FOR,DNK,GREEN_EFA
169808,199941,DID_NOT_VOTE,DNK,SD
169808,257020,FOR,DNK,RENEW
169808,257023,FOR,DNK,GUE_NGL
169808,257025,FOR,DNK,ECR
169808,257028,FOR,DNK,EPP
169808,257033,FOR,DNK,EPP
169808,257038,FOR,DNK,RENEW
169808,257044,FOR,DNK,GREEN_EFA
169857,37312,FOR,DNK,SD
169857,96709,FOR,DNK,RENEW
169857,101585,FOR,DNK,SD
169857,111412,FOR,DNK,GREEN_EFA
169857,124875,ABSTENTION,DNK,PFE
169857,197558,FOR,DNK,RENEW
169857,197573,FOR,DNK,GREEN_EFA
169857,199941,DID_NOT_VOTE,DNK,SD
169857,257020,FOR,DNK,RENEW
169857,257023,FOR,DNK,GUE_NGL
169857,257025,FOR,DNK,ECR
169857,257028,FOR,DNK,EPP
169857,257033,FOR,DNK,EPP
169857,257038,FOR,DNK,RENEW
169857,257044,FOR,DNK,GREEN_EFA
169885,37312,FOR,DNK,SD
169885,96709,FOR,DNK,RENEW
169885,101585,FOR,DNK,SD
169885,111412,FOR,DNK,GREEN_EFA
169885,124875,AGAINST,DNK,PFE
169885,197558,FOR,DNK,RENEW
169885,197573,FOR,DNK,GREEN_EFA
169885,199941,DID_NOT_VOTE,DNK,SD
169885,257020,FOR,DNK,RENEW
169885,257023,FOR,DNK,GUE_NGL
169885,257025,AGAINST,DNK,ECR
169885,257028,FOR,DNK,EPP
169885,257033,FOR,DNK,EPP
169885,257038,FOR,DNK,RENEW
169885,257044,FOR,DNK,GREEN_EFA
169887,37312,FOR,DNK,SD
169887,96709,FOR,DNK,RENEW
169887,101585,FOR,DNK,SD
169887,111412,FOR,DNK,GREEN_EFA
169887,124875,AGAINST,DNK,PFE
169887,197558,FOR,DNK,RENEW
169887,197573,FOR,DNK,GREEN_EFA
169887,199941,DID_NOT_VOTE,DNK,SD
169887,257020,FOR,DNK,RENEW
169887,257023,FOR,DNK,GUE_NGL
169887,257025,ABSTENTION,DNK,ECR
169887,257028,FOR,DNK,EPP
169887,257033,FOR,DNK,EPP
169887,257038,FOR,DNK,RENEW
169887,257044,FOR,DNK,GREEN_EFA
169889,37312,FOR,DNK,SD
169889,96709,FOR,DNK,RENEW
169889,101585,FOR,DNK,SD
169889,111412,FOR,DNK,GREEN_EFA
169889,124875,AGAINST,DNK,PFE
169889,197558,FOR,DNK,RENEW
169889,197573,FOR,DNK,GREEN_EFA
169889,199941,DID_NOT_VOTE,DNK,SD
169889,257020,FOR,DNK,RENEW
169889,257023,FOR,DNK,GUE_NGL
169889,257025,FOR,DNK,ECR
169889,257028,FOR,DNK,EPP
169889,257033,FOR,DNK,EPP
169889,257038,FOR,DNK,RENEW
169889,257044,FOR,DNK,GREEN_EFA
169890,37312,FOR,DNK,SD
169890,96709,FOR,DNK,RENEW
169890,101585,FOR,DNK,SD
169890,111412,FOR,DNK,GREEN_EFA
169890,124875,AGAINST,DNK,PFE
169890,197558,FOR,DNK,RENEW
169890,197573,FOR,DNK,GREEN_EFA
169890,199941,DID_NOT_VOTE,DNK,SD
169890,257020,FOR,DNK,RENEW
169890,257023,FOR,DNK,GUE_NGL
169890,257025,ABSTENTION,DNK,ECR
169890,257028,FOR,DNK,EPP
169890,257033,FOR,DNK,EPP
169890,257038,FOR,DNK,RENEW
169890,257044,FOR,DNK,GREEN_EFA
169894,37312,FOR,DNK,SD
169894,96709,FOR,DNK,RENEW
169894,101585,FOR,DNK,SD
169894,111412,DID_NOT_VOTE,DNK,GREEN_EFA
169894,124875,AGAINST,DNK,PFE
169894,197558,FOR,DNK,RENEW
169894,197573,FOR,DNK,GREEN_EFA
169894,199941,DID_NOT_VOTE,DNK,SD
169894,257020,FOR,DNK,RENEW
169894,257023,FOR,DNK,GUE_NGL
169894,257025,AGAINST,DNK,ECR
169894,257028,FOR,DNK,EPP
169894,257033,FOR,DNK,EPP
169894,257038,FOR,DNK,RENEW
169894,257044,FOR,DNK,GREEN_EFA
169898,37312,FOR,DNK,SD
169898,96709,DID_NOT_VOTE,DNK,RENEW
169898,101585,FOR,DNK,SD
169898,111412,FOR,DNK,GREEN_EFA
169898,124875,DID_NOT_VOTE,DNK,PFE
169898,197558,ABSTENTION,DNK,RENEW
169898,197573,FOR,DNK,GREEN_EFA
169898,199941,DID_NOT_VOTE,DNK,SD
169898,257020,FOR,DNK,RENEW
169898,257023,FOR,DNK,GUE_NGL
169898,257025,AGAINST,DNK,ECR
169898,257028,AGAINST,DNK,EPP
169898,257033,AGAINST,DNK,EPP
169898,257038,FOR,DNK,RENEW
169898,257044,FOR,DNK,GREEN_EFA
169987,37312,ABSTENTION,DNK,SD
169987,96709,DID_NOT_VOTE,DNK,RENEW
169987,101585,ABSTENTION,DNK,SD
169987,111412,AGAINST,DNK,GREEN_EFA
169987,124875,DID_NOT_VOTE,DNK,PFE
169987,197558,AGAINST,DNK,RENEW
169987,197573,AGAINST,DNK,GREEN_EFA
169987,199941,DID_NOT_VOTE,DNK,SD
169987,257020,AGAINST,DNK,RENEW
169987,257023,AGAINST,DNK,GUE_NGL
169987,257025,AGAINST,DNK,ECR
169987,257028,FOR,DNK,EPP
169987,257033,FOR,DNK,EPP
169987,257038,AGAINST,DNK,RENEW
169987,257044,AGAINST,DNK,GREEN_EFA
170351,37312,FOR,DNK,SD
