question,election,rank,similarity,sagid,sag_nummer,sag_titel,sag_resume,relevance,notes
Offentlige institutioner i Danmark tager for mange hensyn til religiøse minoriteter,FV15,1,0.8168712,101412,L 175,"Forslag til lov om ændring af lov om trossamfund uden for folkekirken. (Ny anerkendelsesbetingelse om religiøse forkyndere på den nationale sanktionsliste, skærpet oplysningspligt om udenlandsk finansiering af forkyndere, mulighed for pålæg om brug af ekstern revisor, prøve i dansk familieret, frihed og folkestyre for vielsesforrettere og præcisering af krav til anerkendte trossamfund og menigheder m.v.).","Det følger af trossamfundslovens § 25, at kirkeministeren skal fremsætte forslag om revision af lov om trossamfund, der tager udgangspunkt i erfaringerne med loven.

Lovforslaget indeholder på den baggrund en række forslag til ændringer af administrativ karakter, bl.a. indførelse af mulighed for aflæggelse af prøve i dansk familieret, frihed og folkestyre for at øge valgfriheden for den religiøse forkynder, samtidig med at det sikres, at religiøse forkyndere, der ønsker at foretage vielser med borgerlig gyldighed, har de nødvendige kompetencer. 

Lovforslaget indeholder desuden præciseringer og skærpelser af flere af de krav og forpligtelser, som er knyttet til anerkendelse som trossamfund og som menighed omfattet af et trossamfunds anerkendelse. Det foreslås bl.a. at indføre en ny betingelse for anerkendelse, hvorefter trossamfund og menigheder ikke må facilitere prædikener og taler afholdt af personer på den nationale sanktionsliste over udenlandske religiøse forkyndere. 

Desuden foreslås det at skærpe de anerkendte trossamfund og menigheders oplysningspligt i forhold til udenlandsk finansiering af religiøse forkyndere og at tydeliggøre de anerkendte trossamfund og menigheders ansvar for indberetning af årsregnskaber og oplysninger om donationer til Trossamfundsregistret. 

Endvidere foreslås det at indføre mulighed for, at kirkeministeren kan give et anerkendt trossamfund eller menighed, der gentagne gange indberetter årsregnskaber eller oplysninger om donationer med væsentlige mangler, et pålæg om at anvende en ekstern revisor.",,
Offentlige institutioner i Danmark tager for mange hensyn til religiøse minoriteter,FV15,2,0.81151253,70717,L 50,"Forslag til lov om ændring af udlændingeloven. (Obligatorisk kursus i dansk familieret, frihed og folkestyre for religiøse forkyndere m.fl. og løfteerklæring om overholdelse af dansk lovgivning).","Med lovforslaget foreslås det, at meddelelse af opholdstilladelse til religiøse forkyndere m.fl. fremover skal betinges af, at den pågældende underskriver en løfteerklæring om i sit virke som religiøs forkynder at ville overholde dansk lovgivning. Lovforslaget indebærer desuden, at forlængelse af en opholdstilladelse meddelt til religiøse forkyndere m.fl. fremover også skal betinges af, at udlændingen har gennemført et obligatorisk kursus i dansk familieret, frihed og folkestyre.

Lovforslaget skal ses i sammenhæng med lovforslag nr. L 30, som er fremsat af kirkeministeren den 5. oktober 2016. L 30 og L 50 sambehandles. 

Lovforslaget er en del af den aftale, som regeringen (Venstre), Socialdemokratiet, Dansk Folkeparti og Det Konservative Folkeparti indgik den 31. maj 2016, og som vedrører initiativer rettet mod religiøse forkyndere, som i deres virke som prædikanter søger at modarbejde danske love og værdier om frihed og demokrati.",,
Offentlige institutioner i Danmark tager for mange hensyn til religiøse minoriteter,FV15,3,0.8099046,70713,L 48,"Forslag til lov om ændring af udlændingeloven. (Indførelse af en offentlig sanktionsliste over udenlandske religiøse forkyndere m.fl., som kan udelukkes fra at indrejse).","Forslaget får ud på at indføre en offentlig national sanktionsliste med navngivne udenlandske religiøse forkyndere m.fl., som kan udelukkes fra at indrejse her i landet af hensyn til den offentlige orden. Dette sker ved at indføre bestemmelser om, at udlændinge, der optages på sanktionslisten, har indrejseforbud i Danmark og kan udelukkes fra opholdstilladelse, medmindre særlige grunde taler derfor. Med lovforslaget indføres endvidere adgang til, at udlændingene på sanktionslisten kan indberettes til Schengeninformationssystemet (SIS II) som uønskede i Schengenområdet. 

Som følge af indrejseforbuddet vil udlændingene på sanktionslisten kunne afvises ved grænsen og meddeles afslag på visum efter gældende regler. Den nationale sanktionsliste omfatter ikke udlændinge, som er omfattet af EU-reglerne om fri bevægelighed m.v., og udlændinge, som allerede har opholdstilladelse her i landet. 

Lovforslaget udmønter en del af den aftale, som blev indgået den 31. maj 2016 mellem regeringen, Socialdemokraterne, Dansk Folkeparti og Det Konservative Folkeparti om initiativer rettet mod religiøse forkyndere, som søger at undergrave danske love og værdier og understøtte parallelle retsopfattelser.

Loven træder i kraft den 1. januar 2017.
",,
Offentlige institutioner i Danmark tager for mange hensyn til religiøse minoriteter,FV15,4,0.8083731,70253,L 30,"Forslag til lov om ændring af lov om ægteskabs indgåelse og opløsning. (Dekorumkrav og obligatorisk kursus i dansk familieret, frihed og folkestyre).","Med lovforslaget foreslås tre ændringer af lov om ægteskabs indgåelse og opløsning. For det første foreslås en lovfæstelse af det i dag ulovbestemte dekorumkrav (værdighedskrav) til religiøse forkyndere i trossamfund uden for folkekirken, der tildeles vielsesbemyndigelse. 

For det andet foreslås det, at der indføres et obligatorisk kursus i dansk familieret, frihed og folkestyre for religiøse forkyndere i trossamfund uden for folkekirken, der ønsker vielsesbemyndigelse. Kurset finansieres ved brugerbetaling og skal være gennemført, inden 6 måneder efter at den religiøse forkynder har fået tildelt vielsesbemyndigelsen. 

For det tredje foreslås det, at kursusdeltagerne ved kursets afslutning skal underskrive en løfteerklæring om at ville overholde dansk lovgivning. 

Lovforslaget skal ses i sammenhæng med lovforslag nr. L 50 om obligatorisk kursus i dansk familieret, frihed og folkestyre for religiøse forkyndere m.fl. og løfteerklæring om overholdelse af dansk lovgivning. L 30 og L 50 sambehandles. 

Under behandlingen af lovforslaget blev der ved ændringsforslag indført en revisionsbestemmelse, der betyder, at kirkeministeren i folketingsåret 2019-20 skal fremsætte forslag om revision af loven.

Lovforslaget er en del af aftalen om initiativer rettet mod religiøse forkyndere, som søger at undergrave danske love og værdier og understøtte parallelle retsopfattelser, indgået den 31. maj 2016 mellem regeringen (Venstre), Socialdemokratiet, Dansk Folkeparti og Det Konservative Folkeparti.",,
Offentlige institutioner i Danmark tager for mange hensyn til religiøse minoriteter,FV15,5,0.80687666,97167,L 95,"Forslag til lov om ændring af lov om social service, lov om retssikkerhed og administration på det sociale område og forskellige andre love. (Den nationale sikkerhedskonsulentordning og koordinationsenheden mod genopdragelsesrejser og ufrivillige udlandsophold, bemyndigelse til at fastsætte regler vedrørende grønlandske og færøske borgere, der er dømt til anbringelse på institution i Danmark, forenkling af reglerne vedrørende børne- og ungeudvalgene m.v.).","Lovforslaget indeholder en række ændringer i forskellige love. Lovforslagets første del indeholder forslag vedrørende den nationale sikkerhedskonsulentordning og koordinationsenheden mod genopdragelsesrejser og ufrivillige udlandsophold. Af regeringsgrundlaget ”Ansvar for Danmark” fremgår det, at regeringen ikke vil acceptere, at kvinder udsættes for vold og negativ social kontrol, og at regeringen ønsker at styrke den forebyggende indsats, så man bliver bedre til at hjælpe, oplyse og beskytte de, som udsættes for negativ social kontrol eller æresrelaterede konflikter. Med forslaget indføres en lovhjemmel til, hvornår og hvordan sikkerhedskonsulenterne og koordinationsenheden mod genopdragelsesrejser og ufrivillige udlandsophold kan bistå i sager om æresrelatere de konflikter og negativ social kontrol. 

Lovforslaget indeholder for det andet forslag om en tydeliggørelse af omfanget af Ankestyrelsens prøvelse i sager, hvor kommunens afgørelse er påklaget til Ankestyrelsen. 

Lovforslaget indeholder for det tredje ændringer om forenklinger i de største kommuners adgang til at udpege flere stedfortrædere for børne- og ungeudvalget og særlig adgang for Københavns Kommune til at have flere medlemmer, der kan tiltræde som næstformand for udvalget. Derudover indføres ændringer i social- og boligministerens adgang til at fastsætte regler i forretningsordenen for børne- og ungeudvalget om valg af formand og næstformand for udvalget ved stemmelighed m.v. 

Lovforslagets fjerde forslag indeholder derudover en udbedring af mangler i reglerne vedrørende grønlandske og færøske borgere, der anbringes i sociale tilbud i Danmark. 

Lovforslaget indeholder for det femte forslag om udvidelse af bemyndigelsen til at fastsætter regler knyttet til at medtage ydelser efter barnets lov under midlertidige ophold i udlandet. 

Lovforslaget indeholder for det sjette forslag om at styrke rammerne for arbejdet med at sikre bedre og mere dækkende og valide data på social- og ældreområdet, da dette er væsentligt, da et godt datagrundlag kan medvirke til tilrettelæggelsen af en bedre social indsats til gavn for borgerne. 

Lovforslaget indeholder for det syvende forslag om rettelse af fejl i barnets lov, herunder i reglerne vedrørende opfølgning i barnets eller den unges sag, i reglerne om ungeplaner og i overgangsbestemmelserne i barnets lov og tydeliggørelse af, at børn og unge, der er fyldt 10 år, har adgang til at klage over kommunens beslutning, hvis der hverken træffes afgørelse om anbringelse eller en støttende indsats, når barnet eller den unge har anmodet kommunen om at blive anbragt uden for hjemmet. Endelig indeholder lovforslaget forslag om udbedring af mangler i reglerne vedrørende statsrefusion i omlægningen af indsatsen mod hjemløshed.
",,
Offentlige institutioner i Danmark tager for mange hensyn til religiøse minoriteter,FV15,6,0.8061068,27704,L 28,"Forslag til lov om ændring af lov om Ligebehandlingsnævnet. (Indførelse af krav om retlig interesse, formandsafgørelser samt mulighed for, at Institut for Menneskerettigheder – Danmarks Nationale Menneskerettighedsinstitution kan indbringe visse sager for Ligebehandlingsnævnet m.v.).","Lovforslaget indebærer, at Ligebehandlingsnævnet fremover alene skal kunne behandle en klage, hvis klager har en individuel og aktuel interesse i den konkrete sag. Dette krav vil således ikke være opfyldt, hvis den pågældende tilhører en gruppe af personer, som muligvis er blevet udsat for ulovlig forskelsbehandling. 

Det foreslås herudover, at Institut for Menneskerettigheder tillægges kompetence til at indbringe sager af principiel karakter eller af almindelig offentlig interesse om ulovlig forskelsbehandling for nævnet. 

Endelig tillægges formandskabet kompetence til at træffe beslutning alene i sager, hvor der er etableret en fast praksis, for herved at prioritere flest ressourcer til de mest komplicerede sager. 

Lovforslaget hviler på en bred politisk aftale mellem regeringen (Venstre) og alle Folketingets partier. 

Der er tale om en genfremsættelse af det forslag, der blev fremsat den 29. april 2015 (L 197, folketingsåret 2014-15, 1. samling).",,
Offentlige institutioner i Danmark tager for mange hensyn til religiøse minoriteter,FV15,7,0.80435824,90138,L 78,"Forslag til lov om ændring af straffeloven, retsplejeloven og lov om pas til danske statsborgere m.v. (Styrket indsats mod seksuelle overgreb mod børn og styrket rådgivning til ofre for seksuelle overgreb).","Med lovforslaget ønsker man bl.a. at styrke indsatsen mod seksuelle overgreb mod børn og at styrke rådgivningen til ofre for seksuelle overgreb ved at gennemføre centrale dele af regeringens udspil af 17. maj 2021 ”Værn mod voksne, der krænker børn”.

Det foreslås for det første at ændre straffeloven, så der fremover pr. definition vil være tale om voldtægt i en situation, hvor forurettede er under 15 år, og gerningspersonen er fyldt 22 år. Herudover foreslås det, at straffen for andre seksuelle overgreb end samleje begået mod børn forhøjes med 50 pct. i forhold til den straf, der hidtil har været fastsat af domstolene for sådanne overtrædelser, og at der indføres et forbud mod sexdukker, der fremstår som børn.

Det foreslås endvidere at give domstolene mulighed for at idømme udrejseforbud til personer, der dømmes for seksuelle overgreb mod børn. Udrejseforbuddet foreslås suppleret af, at politiet skal inddrage den dømtes pas. Endelig foreslås, at politiet får mulighed for at foretage hemmelige ransagninger i sager om besiddelse og udbredelse af seksuelt overgrebsmateriale med børn (børnepornografi).

Derudover har lovforslaget også til formål at gennemføre de dele af aftalen af 22. juni 2021, der blev indgået som opfølgning på finansloven for 2021 mellem regeringen, Radikale Venstre, Socialistisk Folkeparti, Enhedslisten og Alternativet om styrket rådgivning for ofre for seksuelle overgreb, som forudsætter lovændringer. Derfor indeholder det også forslag om, at ofre for seksuelle overgreb får ret til at modtage vederlagsfri bistand fra en advokat forud for eventuel anmeldelse af overgrebet til politiet efter sagens eller retshandlingens afslutning.

Det foreslås, at loven træder i kraft den 1. marts 2022.
",,
Offentlige institutioner i Danmark tager for mange hensyn til religiøse minoriteter,FV15,8,0.80354,96615,L 78,Forslag til lov om ændring af dagtilbudsloven. (Justering af krav til minimumsnormering i privatinstitutioner).,"Formålet med forslaget er at ophæve det kommende lovkrav om, at den enkelte privatinstitution skal have en normering, som mindst svarer til den gennemsnitlige normering i kommunen, på grund af udfordringer med implementeringen.

Herudover vedrører forslaget bl.a., at kravet om minimumsnormering for privatinstitutioner justeres, således at der tilsvarende minimumskravet for kommunale, selvejende og udliciterede daginstitutioner samt puljeordninger fastsættes krav om, at privatinstitutioner skal sikre en normering, som indebærer, at der minimum vil skulle være én pædagogisk personale pr. tre børn i alderssvarende privatinstitutioner for 0-2-årige børn (vuggestue) og minimum én pædagogisk personale pr. seks børn i alderssvarende privatinstitutioner for 3-årige børn indtil skolestart (børnehave). 

Det foreslås, at loven træder i kraft den 1. januar 2024.",,
Offentlige institutioner i Danmark tager for mange hensyn til religiøse minoriteter,FV15,9,0.80345684,94807,L 78,Forslag til lov om ændring af lov om valg til menighedsråd. (Videreførelse af valgbarhedskriterier for kirkefunktionærer).,"Formålet med lovforslaget er at fastholde den retstilstand, der i dag gælder i forhold til kirkefunktionærers valgbarhed til menighedsråd. 

Lovforslaget indebærer, at kirkefunktionærer, hvis ansættelsesforhold har en varighed på mere end en måned, og hvis gennemsnitlige ugentlige arbejdstid overstiger 8 timer, ikke er valgbare til menighedsrådet i den menighedsrådskreds, hvor de har tjenestested. Herved fastholdes den nugældende retstilstand og sikrer hermed, at kirkefunktionærer med en gennemsnitlig ugentlig arbejdstid på 3 timer eller mere ikke mister valgbarheden. 

Ændringen er nødvendig, fordi valgbarhedskriterierne i dag henviser til ansættelsesbevisloven, som forventes ophævet ved et lovforslag fra beskæftigelsesministeren om implementering af arbejdsdirektivet. Derfor foreslås det, at henvisningen til ansættelsesbevisloven fjernes, og at de hidtil gældende kriterier, som regulerer kirkefunktionærers valgbarhed, tilføjes i lov om valg til menighedsråd.",,
Offentlige institutioner i Danmark tager for mange hensyn til religiøse minoriteter,FV15,10,0.8034437,71752,L 123,"Forslag til lov om ændring af lov om elevers og studerendes undervisningsmiljø og lov om folkeskolen. (Krav om antimobbestrategi, handlingsplan ved problemer med det psykiske undervisningsmiljø, oprettelse af klageinstans, tilsyn, genindførelse af kommunalbestyrelsens behandling af skolelederens beslutninger m.v.).","Lovforslaget skal sikre elever i grundskoler og på ungdomsuddannelser en skolegang uden problemer med det psykiske undervisningsmiljø i form af mobning el.lign.

Med lovforslaget bliver det et krav for grundskoler og ungdomsuddannelser at fastsætte en antimobbestrategi, herunder også om digital mobning. 

Det foreslås bl.a., at ledelsen, såfremt der konstateres problemer med det psykiske undervisningsmiljø i form af mobning el.lign., inden for en frist på 10 arbejdsdage udarbejder en handlingsplan for, hvordan problemerne effektivt bliver stoppet. 

Med lovforslaget får elever og mindreårige elevers forældre adgang til at klage til Dansk Center for Undervisningsmiljø (DCUM), hvis uddannelsesstedet ikke har en antimobbestrategi, eller hvis der bliver reageret utilstrækkeligt ved konkrete tilfælde af problemer med det psykiske undervisningsmiljø i form af mobning el.lign. DCUM vil herefter kunne udstede et påbud om at opfylde en handlepligt inden for en rimelig frist. 

Regeringen fremsatte under lovbehandlingen et ændringsforslag, der blev vedtaget, om en 'solnedgangsklausul' på klageinstansen, der betyder, at klagesagsbehandlingen hos DCUM skal ophøre senest den 31. juli 2020, medmindre Folketinget vurderer, at klageadgangen skal opretholdes, og inden da vedtager dette ved lov. 

Det foreslås, at lovforslaget træder i kraft den 1. august 2017.",,
"Reglerne skal strammes, så det bliver sværere at få asyl i Danmark",FV15,1,0.8579754,72432,L 153,Forslag til lov om ændring af udlændingeloven. (Mulighed for i en krisesituation at afvise asylansøgere ved grænsen).,"Formålet med lovforslaget er at give mulighed for, at Danmark i en krisesituation kan afvige fra Dublinforordningens regler om at give asylansøgere adgang til landet, mens det vurderes, hvor deres ansøgning skal behandles. I stedet skal Danmark i en situation, hvor presset på Dublinsystemet bliver for stort og samarbejdet derfor reelt set ophører med at fungere, kunne afvise asylansøgere direkte ved grænsen, hvis der er tale om indrejse fra et land, som er omfattet af Dublinforordningen, og som kan sidestilles med sikre tredjelande.

Der er tale om en såkaldt nødbremse, der kan aktiveres for en periode på 4 uger med mulighed for forlængelse i 4 uger ad gangen. Flygtningenævnet skal foretage vurderingen af, om der er tale om sikre tredjelande. Denne vurdering lægges til grund for politiets afgørelse ved grænsen.

Lovforslaget er en opfølgning på finanslovsaftalen 2017 mellem regeringen (Venstre, Liberal Alliance og Det Konservative Folkeparti) og Dansk Folkeparti, hvoraf det fremgår, at der skal indføres en nødbremse inspireret af norske erfaringer, der gør det muligt at afvise asylansøgere ved grænsen, hvis de danske grænser er under pres.",,
