sagid,oda_sagsomraade
67310,flygtninge og asylansøgere
67370,ophavsret
67371,kunstig befrugtning
67375,kriminalforsorg og afsoning
67376,DSB
67377,PET og terrorbekæmpelse|kriminalforsorg og afsoning
67378,PET og terrorbekæmpelse|kriminalforsorg og afsoning
67379,færdselsret
67380,familiesammenføring|flygtninge og asylansøgere
67383,familieret
67384,landbrug
67551,køn og ligestillingsvurdering
67552,arbejdsmarkedspolitik og beskæftigelsesindsats
67553,erhvervsdrivende virksomhed
67554,beskatning af fast ejendom 
67555,personskatter
67556,retspleje og domstole
67557,alternative og vedvarende energikilder
67558,vandforsyning
67560,energipolitik og energieffektivitet
67561,alternative og vedvarende energikilder
67644,moms 
67645,moms 
67729,byggeri
67730,kollektiv transport
67731,finansiel virksomhed
67733,familieret
67734,told
67748,flygtninge og asylansøgere
67749,sygdomme og sygdomsbehandling
67751,selskabsskatter 
67752,personskatter
67753,beskatning af aktier
67754,sundheds it
67755,flygtninge og asylansøgere
67756,strafferet og kriminalitet
67757,folkeskolen
67758,folkeskolen
67759,sundheds it
67760,gymnasiale uddannelser
67761,politi og retsvæsen
67762,politi og retsvæsen
67763,PET og terrorbekæmpelse
67764,kriminalforsorg og afsoning
67768,finanspolitik
67802,ældre
67875,arbejdsret og overenskomster
67876,rygning og rusmiddelbrug
67877,flygtninge og asylansøgere
67878,EU
67879,politi og våben
67880,indfødsrets og naturalisering
67881,boligpolitik
67919,indfødsrets og naturalisering
67920,indfødsrets og naturalisering
67971,kontanthjælp og uddannelseshjælp
67985,forvaltningsret og persondata
68002,klima
68060,inddrivelse
68063,patientrettigheder og patientsikkerhed
68065,miljøpolitik og miljøbeskyttelse
68066,sø- og skibsfart
68068,social service
68223,arbejdsløshedsforsikring og dagpenge
68224,arbejdsmarkedspolitik og beskæftigelsesindsats
68230,internationale organisationer
68232,uddannelsesstøtte
68233,medier
68234,videregående uddannelse
68236,videregående uddannelse
68237,vejinfrastruktur
68238,forskning og innovation
68241,inddrivelse
68242,beskatning af aktier
68243,færdselsret
68244,rygning og rusmiddelbrug
68245,lufttrafik
68246,etik og forskning
68247,dyr og dyrevelfærd
68248,sygdomme og sygdomsbehandling
68249,sø- og skibsfart
68250,forvaltningsret og persondata
68251,valg og folkeafstemninger
68252,social service
68382,folkepension og førtidspension
68383,finansiel virksomhed
68384,miljøpolitik og miljøbeskyttelse
68385,miljøpolitik og miljøbeskyttelse
68570,familiesammenføring
68655,råstoffer og udvinding|sundhed og sociale forhold
68658,erhverv og arbejdsmarked
68659,finansiel virksomhed
68660,boligpolitik|byfornyelse
68661,boligpolitik
68662,socialpolitik|udsatte børn og unge
68663,socialpolitik|udsatte børn og unge
68676,beredskab og civile opgaver
68679,energiforsyning
68681,sundhedspolitik og sundhedsøkonomi
68689,rygning og rusmiddelbrug
68691,motorkøretøjer|personskatter
68692,arbejdsmarkedspolitik og beskæftigelsesindsats
68693,erhverv og arbejdsmarked
68799,indvandrere og integration
68850,ophold og visum
68953,energiforsyning
68954,alternative og vedvarende energikilder
68955,arbejdsmarkedspolitik og beskæftigelsesindsats
68956,arbejdsmarkedspolitik og beskæftigelsesindsats
69055,kulturarv og bygningsbevaring
69056,indfødsrets og naturalisering
69116,færgefart
69139,kommuner
69140,skifteret og konkurs
69143,arbejdsløshedsforsikring og dagpenge
69144,patientrettigheder og patientsikkerhed
69145,arbejdsløshedsforsikring og dagpenge
69175,vederlag mv. til medlemmer og ministre 
69214,undervisning til unge med særlige behov
69215,kriminalforsorg og afsoning
69216,kriminalforsorg og afsoning
69217,flygtninge og asylansøgere
69218,indvandrere og integration
69219,alternative og vedvarende energikilder
69340,personskatter
69341,personskatter
69350,sundhed og sociale forhold
69351,cybersikkerhed og informationssikkerhed
69352,cybersikkerhed og informationssikkerhed
69354,cybersikkerhed og informationssikkerhed
69356,faste forbindelser
69554,færdselsret
69555,færdselsret
69560,strafferet og kriminalitet
69561,strafferet og kriminalitet
69641,familiesammenføring
69642,indvandrere og integration
70226,finanspolitik
70235,arbejdsmarkedspolitik og beskæftigelsesindsats
70236,finansielle forhold|finanspolitik
70237,vand- og havmiljø
70238,finansielle forhold|finanspolitik
70240,energiafgifter 
70241,selvstyreordningen og Rigsfællesskabet
70242,klageinstanser og klagesager|omkostningsgodtgørelse
70244,Det Økonomiske Råd
70245,fonds- og foreningsbeskatning
70246,lægemidler og apoteker
70249,frie grundskoler
70252,hjemmeværnet
70253,kirkelige handlinger og ritualer
70254,formueret og tinglysning
70258,retspleje og domstole
70259,retspleje og domstole
70261,politi og våben|strafferet og kriminalitet
70262,selskaber og fonde
70264,handel og eksport
70265,erhvervsdrivende virksomhed
70267,indfødsrets og naturalisering
70268,udvalgsarbejde og -meddelelser
70269,Flygtningenævnet
70270,socialpolitik
70271,EU
70272,social service
70273,folkeregistret og borgerservice
70409,finansiel virksomhed
70410,finansiel virksomhed
70411,handel og eksport
70437,folkepension og førtidspension
70543,fysisk planlægning
70544,indfødsrets og naturalisering
70545,kriminalforsorg og afsoning
70546,sundhedsfremme og sygdomsforebyggelse
70547,fødevarer
70548,dyr og dyrevelfærd
70590,motorkøretøjer
70591,motorkøretøjer
70687,arbejdsløshedsforsikring og dagpenge
70688,arbejdsmarkedspolitik og beskæftigelsesindsats
70689,naturbeskyttelse og kystsikring
70690,miljøpolitik og miljøbeskyttelse
70691,dyr og dyrevelfærd
70692,erhverv og arbejdsmarked
70694,sundhedspolitik og sundhedsøkonomi
70695,sundhedspolitik og sundhedsøkonomi
70696,gymnasiale uddannelser
70697,gymnasiale uddannelser
70698,it og teleforsyning
70699,udviklingsbistand
70701,alternative og vedvarende energikilder
70702,geodata og kort
70703,videregående uddannelse
70704,geodata og kort
70705,veteraner
70707,faste forbindelser
70708,politi og retsvæsen
70709,færdselsret
70710,forvaltningsret og persondata
70711,strafferet og kriminalitet
70712,PET og terrorbekæmpelse
70713,kulturelle og religiøse forhold
70714,sundhed og sociale forhold
70715,social service
70716,udvisning og repatriering
70717,kulturelle og religiøse forhold
70718,folkeregistret og borgerservice
70719,ophold og visum
70720,socialpolitik
70723,kommuner
70804,ophold og visum
70805,militært materiel
70806,erhvervsuddannelser
70867,arbejdsløshedsforsikring og dagpenge
70868,voksen- og efteruddannelse
70869,frie grundskoler
70870,voksen- og efteruddannelse
70871,energiforsyning
70872,alternative og vedvarende energikilder|energiforsyning
70905,motorkøretøjer
71012,patientrettigheder og patientsikkerhed
71013,socialpolitik
71022,dag- og klubtilbud
71023,dag- og klubtilbud
71139,erhvervsdrivende virksomhed
71340,vejinfrastruktur
71341,folkeskolen
71342,strafferet og kriminalitet
71343,dagtilbud
71344,vederlag mv. til medlemmer og ministre 
71345,vand- og havmiljø
71346,miljøpolitik og miljøbeskyttelse
71347,aktivering og jobformidling
71348,personskatter
71349,personskatter
71350,Udlændingenævnet
71351,personskatter
71352,beskatning af fast ejendom 
71353,patientrettigheder og patientsikkerhed
71384,social service
71387,vederlag mv. til medlemmer og ministre 
71429,beskatning af fast ejendom 
71430,beskatning af fast ejendom 
71511,erhvervsdrivende virksomhed
71512,internationale forhold
71513,dyr og dyrevelfærd
71579,finansielle forhold
71749,fysisk planlægning
71750,ophold og visum
71751,syn og motorkøretøjer
71752,folkeskolen
71753,forskning og innovation
71754,miljøpolitik og miljøbeskyttelse|naturbeskyttelse og kystsikring
71755,forskning og innovation
71756,it og teleforsyning
71819,valg og folkeafstemninger
71820,valg og folkeafstemninger
71970,aktivering og jobformidling
72009,politi og retsvæsen
72010,boligpolitik|byggeri
72011,"arkiver, biblioteker og museer"
72012,strafferet og kriminalitet
72013,patientrettigheder og patientsikkerhed
72014,satspulje
72015,EU
72016,ligestilling og barsel
72134,efterretningstjeneste og sikkerhedspolitik
72135,kommuner
72136,erhverv og arbejdsmarked
72138,boligpolitik
72139,universiteter
72140,færdselsret
72141,inddrivelse
72143,miljø- og genteknologi
72150,indvandrere og integration
72257,folkepension og førtidspension
72422,finansiel virksomhed
72423,finansiel virksomhed
72424,transportpolitik
72425,folkekirken
72427,handel og eksport
72428,medier
72429,familieret
72430,indvandrere og integration
72431,social service
72432,flygtninge og asylansøgere
72433,dyr og dyrevelfærd
72438,kulturarv og bygningsbevaring
72447,indvandrere og integration
72540,landbrug
72542,familiesammenføring
72543,familiesammenføring
72544,kommunal og regional økonomi|kommuner
72545,ejer- og andelsboliger
72659,EU
72661,EU
72662,gymnasiale uddannelser
72663,socialpolitik
72664,socialpolitik
72665,familieret|socialpolitik
72666,familieret|socialpolitik
72667,politi og våben
72668,afgift af dødsboer og gaver 
72671,psykiatri
72672,alternative og vedvarende energikilder
72673,universiteter
72674,selskaber og fonde
72675,Udlændingestyrelsen
72676,flygtninge og asylansøgere
72677,flygtninge og asylansøgere
72679,strafferet og kriminalitet
72815,finansiel virksomhed
72816,flygtninge og asylansøgere
72890,indfødsrets og naturalisering
73006,retspleje og domstole
73007,strafferet og kriminalitet
73008,arbejdsløshedsforsikring og dagpenge
73010,strafferet og kriminalitet
73011,universiteter
73012,retspleje og domstole
73013,spil
73014,personskatter
73015,valg og folkeafstemninger
73016,virksomhedsskat
73017,færgefart
73018,kommuner
73019,erhvervsuddannelser|folkeskolen
73021,"partistøtte, partiregnskaber og gruppestøtte"
73100,psykiatri
73101,sygdomme og sygdomsbehandling
73102,ejendomsdata
73103,kommunale skatter
73105,motorkøretøjer
73106,socialforvaltning og retssikkerhed
73120,sundhedspersonale og autorisation
73132,færdselsret
73133,færdselsret
73162,energiforsyning
73223,politi og våben
73225,moms |tinglysningsafgift 
73226,administration
73332,praksissektoren og kommunale sundhedsordninger
73333,praksissektoren og kommunale sundhedsordninger
73452,retspleje og domstole
73453,retspleje og domstole
74084,finansielle forhold
74085,finansielle forhold
74087,finansielle forhold
74143,skifteret og konkurs
74145,strafferet og kriminalitet
74146,strafferet og kriminalitet
74147,strafferet og kriminalitet
74148,strafferet og kriminalitet
74151,færdselsret
74152,EU|transportpolitik
74153,efterretningstjeneste og sikkerhedspolitik
74154,boligpolitik|lejeboliger
74155,jernbaneinfrastruktur
74156,turisme og oplevelsesøkonomi
74157,boligpolitik|lejeboliger
74158,transportpolitik
74159,erhvervsdrivende virksomhed
74160,færdselsret|syn og motorkøretøjer
74161,konkurrence- og forbrugerforhold
74162,kollektiv transport|transportpolitik
74163,folkekirken
74165,erhvervsdrivende virksomhed
74166,kulturarv og bygningsbevaring
74167,finansiel virksomhed
74168,medier
74170,ungdoms- og efterskoler
74171,folkeskolen
74172,kommunal og regional økonomi
74174,sundhed og sociale forhold
74175,familieret
74176,dyr og dyrevelfærd
74177,EU
74178,naturbeskyttelse og kystsikring
