sagid,oda_sagsomraade
78916,"arkiver, biblioteker og museer"
78918,retspleje og domstole
78919,retspleje og domstole
78921,sundhedsfremme og sygdomsforebyggelse|sygdomme og sygdomsbehandling
78923,sygefravær og sygedagpenge
78924,energiforsyning
78925,alternative og vedvarende energikilder
78926,arbejdsret og overenskomster
78927,olie- og naturgasindvinding
78928,køn og ligestillingsvurdering
79116,erhvervsdrivende virksomhed
79117,erhvervsdrivende virksomhed
79118,erhvervsakademier og professionshøjskoler|universiteter
79119,syn og motorkøretøjer
79121,syn og motorkøretøjer
79122,gymnasiale uddannelser
79123,erhvervsuddannelser|folkeskolen|gymnasiale uddannelser
79124,færgefart
79125,arbejdsmiljø og arbejdsskader
79165,folkeskolen
79166,folkeskolen|gymnasiale uddannelser
79190,motorkøretøjer
79295,frie grundskoler
79300,efterretningstjeneste og sikkerhedspolitik
79302,indvandrere og integration
79303,arbejdsmiljø og arbejdsskader
79305,arbejdsmarkedspolitik og beskæftigelsesindsats
79306,arbejdsmarkedspolitik og beskæftigelsesindsats
79379,moms 
79392,sundhedspolitik og sundhedsøkonomi
79448,folkeskolen
79477,kriminalforsorg og afsoning
79478,kriminalforsorg og afsoning
79550,sygehuse og akutberedskab
79551,sygehuse og akutberedskab
79552,sygehuse og akutberedskab
79567,indvandrere og integration
79568,indvandrere og integration
79569,indvandrere og integration
79570,fiskeri og havbrug
79571,fiskeri og havbrug
80006,valg og folkeafstemninger
80321,finanspolitik
80322,finanspolitik
80326,menighedsråd
80328,scenekunst
80329,vand- og havmiljø
80330,lejeboliger
80331,politi og retsvæsen
80332,byggeri
80333,efterløn og fleksjob|folkepension og førtidspension
80334,folkepension og førtidspension
80335,konkurrence- og forbrugerforhold
80336,retspleje og domstole
80337,konkurrence- og forbrugerforhold
80339,syn og motorkøretøjer
80340,jernbaneinfrastruktur
80342,sundhedsfremme og sygdomsforebyggelse
80343,etik og forskning
80344,dyr og dyrevelfærd
80345,dyr og dyrevelfærd
80347,dyr og dyrevelfærd
80348,social service
80349,energiforsyning|energipolitik og energieffektivitet
80350,familieret
80351,energiforsyning|energipolitik og energieffektivitet
80352,inddrivelse
80354,inddrivelse
80355,kursgevinstbeskatning
80356,pensions- og pensionsafkastbeskatning
80357,klageinstanser og klagesager
80360,motorkøretøjer
80361,beskatning af aktier
80363,strafferet og kriminalitet
80537,politi og retsvæsen
80541,virksomhedsskat
80676,indfødsrets og naturalisering
80726,indfødsrets og naturalisering
80727,alternative og vedvarende energikilder
80728,alternative og vedvarende energikilder
80833,PET og terrorbekæmpelse
80836,familiesammenføring
80915,sociale ydelser
80916,forvaltningsret og persondata
80917,finansiel virksomhed
80919,EU
80921,skattekontrol
81029,social service
81030,valg og folkeafstemninger
81031,affald og kemikalier|miljøpolitik og miljøbeskyttelse
81032,vandforsyning
81034,aktiv beskæftigelsesindsats
81035,aktiv beskæftigelsesindsats
81036,sygefravær og sygedagpenge
81037,energiforsyning
81038,finansiel virksomhed
81039,gymnasiale uddannelser|voksen- og efteruddannelse
81040,gymnasiale uddannelser|voksen- og efteruddannelse
81041,gymnasiale uddannelser|voksen- og efteruddannelse
81042,landbrug
81149,social service
81154,vederlag mv. til medlemmer og ministre 
81155,arbejdsmarkedspensioner 
81156,sociale ydelser
81157,arbejdsmiljø og arbejdsskader
81161,personskatter
81163,afgift af dødsboer og gaver 
81204,EU|moms 
81205,moms 
81249,strafferet og kriminalitet
81250,dyr og dyrevelfærd
81253,syn og motorkøretøjer
81255,gymnasiale uddannelser
81377,energiafgifter 
81500,indfødsrets og naturalisering
81501,naturbeskyttelse og kystsikring
81575,strafferet og kriminalitet
81576,socialpolitik
81578,personskatter
81579,sygdomme og sygdomsbehandling
81580,sundhedspersonale og autorisation
81581,arbejdsløshedsforsikring og dagpenge
81596,beskatning af fast ejendom 
81597,beskatning af fast ejendom 
81598,international beskatning 
81600,motorkøretøjer
81601,motorkøretøjer
81602,international beskatning 
81603,international beskatning 
81605,inddrivelse
81678,PET og terrorbekæmpelse
81780,affald og kemikalier
81781,videregående uddannelse
81782,jord- og luftforurening
81783,ejer- og andelsboliger
81869,tinglysningsafgift 
81870,gymnasiale uddannelser
81945,finansielle forhold|finanspolitik
81946,gymnasiale uddannelser
81955,dødsboskat
81956,motorkøretøjer
81957,personskatter
82039,retspleje og domstole
82040,medier
82041,politi og retsvæsen
82043,strafferet og kriminalitet
82044,retspleje og domstole
82045,forvaltningsret og persondata
82046,kommuner
82047,finansiel virksomhed
82048,videregående uddannelse|voksen- og efteruddannelse
82144,indvandrere og integration
82145,affald og kemikalier
82153,social service
82154,social service
82156,fysisk planlægning
82157,fysisk planlægning
82230,strafferet og kriminalitet
82231,energipolitik og energieffektivitet
82232,patent- og varemærkning
82233,energipolitik og energieffektivitet
82236,handel og eksport
82237,klimapolitik og klimaforandringer
82245,lufttrafik
82252,folkeskolen
82417,moms 
82465,sundhedsfremme og sygdomsforebyggelse
82470,arbejdsmarkedsbidrag
82471,COVID-19 pandemien|arbejdsløshedsforsikring og dagpenge
82482,arbejdsmarkedspolitik og beskæftigelsespolitik
82485,COVID-19 pandemien|dagtilbud
82503,COVID-19 pandemien|arbejdsret og overenskomster
82517,arbejdsløshedsforsikring og dagpenge
82518,sygefravær og sygedagpenge
82530,COVID-19 pandemien|uddannelsesstøtte
82542,finansiel virksomhed
82543,syn og motorkøretøjer
82545,sundhedsfremme og sygdomsforebyggelse
82550,punktafgifter
82551,landbrug
82559,COVID-19 pandemien|kommuner|regioner
82561,medier
82570,COVID-19 pandemien|strafferet og kriminalitet
82572,COVID-19 pandemien|sundhedsfremme og sygdomsforebyggelse
82587,naturbeskyttelse og kystsikring
82588,COVID-19 pandemien|arbejdsmarkedspolitik og beskæftigelsespolitik
82591,EU
82592,forsvaret
82594,dagtilbud
82624,COVID-19 pandemien|erhvervsdrivende virksomhed
82653,udsatte voksne
82654,inddrivelse
82657,miljøpolitik og miljøbeskyttelse
82659,COVID-19 pandemien|arbejdsløshedsforsikring og dagpenge
82771,boligpolitik
82772,boligpolitik
82773,boligpolitik
82774,indfødsrets og naturalisering
82780,COVID-19 pandemien|uddannelsesstøtte
82786,COVID-19 pandemien|alternative og vedvarende energikilder
82787,COVID-19 pandemien|lønsumsafgift|moms 
82921,lægemidler og apoteker
82922,arbejdsmarkedspensioner 
82923,arbejdsmarkedspensioner 
82928,selskaber og fonde
83083,indvandrere og integration
83085,ophold og visum
83177,erhvervsdrivende virksomhed
83178,erhvervsdrivende virksomhed
83339,handel og eksport
83340,handel og eksport
83390,social service
83391,beskatning af fast ejendom 
83392,COVID-19 pandemien|sundhed og sociale forhold
83403,COVID-19 pandemien|sygefravær og sygedagpenge
83404,sundhedsfremme og sygdomsforebyggelse
83411,kommunal og regional økonomi
83412,kommunal og regional økonomi
83562,COVID-19 pandemien|aktiv beskæftigelsesindsats
83575,COVID-19 pandemien|erhvervsdrivende virksomhed
83592,beskatning af aktier
83593,beskatning af aktier
83686,boligpolitik
83692,COVID-19 pandemien|moms 
83771,produktsikkerhed og autorisation
83772,produktsikkerhed og autorisation
83773,Udlændingenævnet
83774,flygtninge og asylansøgere
83775,strafferet og kriminalitet
83776,strafferet og kriminalitet
84041,aktiv beskæftigelsesindsats
84084,familieret
84085,familieret
84086,indvandrere og integration
84087,indvandrere og integration
84102,COVID-19 pandemien|arbejdsløshedsforsikring og dagpenge
84103,arbejdsløshedsforsikring og dagpenge
84158,arbejdsløshedsforsikring og dagpenge
84159,aktiv beskæftigelsesindsats
84411,arbejdsmarkedspolitik og beskæftigelsespolitik
84412,arbejdsløshedsforsikring og dagpenge
84630,COVID-19 pandemien|arbejdsløshedsforsikring og dagpenge
84709,COVID-19 pandemien|aktiv beskæftigelsesindsats
84711,aktiv beskæftigelsesindsats
84833,COVID-19 pandemien|arbejdsløshedsforsikring og dagpenge
84867,finanspolitik
84868,finanspolitik
84869,finanspolitik
84911,"biskopper, provster og præster"
84912,sport og idræt
84913,"arkiver, biblioteker og museer"
84915,lovudkast
84917,retspleje og domstole
84919,ministeransvar
84923,familieret
84924,familieret
84927,udsatte børn og unge
84934,børne- og ungeydelse
84938,boligpolitik
84939,boligpolitik
84945,lejeboliger
84948,sygefravær og sygedagpenge
84950,folkepension og førtidspension
84951,aktiv beskæftigelsesindsats
84952,EU
84953,indfødsrets og naturalisering
84954,indvandrere og integration
84955,fødevaresikkerhed og fødevarekontrol
84956,EU
84958,ligebehandling
84959,regnskab og revision
84960,patientrettigheder og patientsikkerhed
84961,COVID-19 pandemien|videregående uddannelse
84962,rygning og rusmiddelbrug
84963,videregående uddannelse
84965,hjemmeværnet
84966,forsvaret
84968,efterretningstjeneste og sikkerhedspolitik
84973,frie grundskoler
84974,gymnasiale uddannelser|voksen- og efteruddannelse
84975,folkeskolen
84976,vejinfrastruktur
84977,erhvervsuddannelser
84978,gods- og erhvervstransport
84981,uddannelsesstøtte
84983,færdselsret
85247,retspleje og domstole
85248,COVID-19 pandemien|skifteret og konkurs
85354,miljøafgifter
85355,folkekirken
85356,internationale forhold
85358,indfødsrets og naturalisering
85359,erhverv og arbejdsmarked
85360,energiforsyning
85361,finansiel virksomhed
85513,vederlag mv. til medlemmer og ministre 
85663,social service
85664,strafferet og kriminalitet
85665,aktiv beskæftigelsesindsats|arbejdsløshedsforsikring og dagpenge
85666,politi og våben
85667,miljøpolitik og miljøbeskyttelse
85669,miljøpolitik og miljøbeskyttelse
85671,affald og kemikalier
85673,aktiv beskæftigelsesindsats
85675,arbejdsret og overenskomster
85676,skattekontrol
85678,indvandrere og integration
85679,energiafgifter 
85680,indvandrere og integration
85681,fonds- og foreningsbeskatning
85682,erhvervsdrivende virksomhed
85683,alternative og vedvarende energikilder
85684,erhvervsakademier og professionshøjskoler
85685,energiforsyning
85686,jernbaneinfrastruktur|vejinfrastruktur
85687,vandforsyning
85688,patientrettigheder og patientsikkerhed
85700,COVID-19 pandemien|dyr og dyrevelfærd
85772,COVID-19 pandemien|sygefravær og sygedagpenge
85858,kommuner og infrastruktur
85859,udsatte voksne
85861,energiafgifter 
85862,medier
85864,arbejdsmarkedspensioner |efterløn og fleksjob
85865,arbejdsmarkedspensioner |efterløn og fleksjob
86014,retspleje og domstole|strafferet og kriminalitet
86015,erhvervsuddannelser
86016,folkekirken
86017,COVID-19 pandemien|folkeskolen
86018,lejeboliger
86192,miljøpolitik og miljøbeskyttelse
86325,Det Økonomiske Råd
86326,EU|told
86327,sygdomme og sygdomsbehandling
86328,gods- og erhvervstransport
86329,voksen- og efteruddannelse
86331,konkurrence- og forbrugerforhold
86391,COVID-19 pandemien|sygefravær og sygedagpenge
86402,sundhedsfremme og sygdomsforebyggelse
86451,kunstig befrugtning
86454,færdselsret
86456,indvandrere og integration
86457,færdselsret
86460,indvandrere og integration
86484,pensions- og pensionsafkastbeskatning
86485,pensions- og pensionsafkastbeskatning
86486,pensions- og pensionsafkastbeskatning
86554,motorkøretøjer
86561,indvandrere og integration
86562,indvandrere og integration
86564,motorkøretøjer
86565,motorkøretøjer
86567,ejendomsdata
86569,personskatter|selskabsskatter 
86570,personskatter|selskabsskatter 
86580,sundhedsfremme og sygdomsforebyggelse
86582,afgift af dødsboer og gaver 
86585,miljøafgifter
86586,politi og våben|retspleje og domstole
86680,retspleje og domstole
86681,skattekontrol
86683,dyr og dyrevelfærd
86763,COVID-19 pandemien|uddannelsesstøtte
86764,personskatter
86766,strafferet og kriminalitet
86779,COVID-19 pandemien|arbejdsløshedsforsikring og dagpenge
86780,COVID-19 pandemien|arbejdsløshedsforsikring og dagpenge
86802,politi og våben
86824,finansielle forhold|finanspolitik
86879,socialpolitik
86883,EU
86895,COVID-19 pandemien
86898,COVID-19 pandemien
86907,arbejdsmarkedsbidrag
86908,motorkøretøjer
86939,færdselsret
86940,COVID-19 pandemien
86997,strafferet og kriminalitet
86998,miljø- og genteknologi
86999,energipolitik og energieffektivitet
87098,digitalisering
87100,digitalisering
87103,COVID-19 pandemien|spil
87105,arbejdsmarkedspensioner 
87106,arbejdsmarkedspolitik og beskæftigelsespolitik
87107,arbejdsmarkedspolitik og beskæftigelsespolitik
87108,COVID-19 pandemien
87142,COVID-19 pandemien
87287,affald og kemikalier
87288,miljøpolitik og miljøbeskyttelse
87290,handel og eksport
87291,ministeransvar
87292,erhvervsdrivende virksomhed
87293,finansiel virksomhed
87294,social service
87295,EU
87296,forskning og innovation
87297,fiskeri og havbrug
87299,social service
87300,miljøafgifter
87301,energiforsyning
87303,sygdomme og sygdomsbehandling
87305,kollektiv transport
87408,efterløn og fleksjob
87409,EU
87411,handel og eksport
87475,indvandrere og integration
87476,indvandrere og integration
87499,COVID-19 pandemien
87580,erhvervsdrivende virksomhed
87582,beredskab og civile opgaver
87630,"folketingsarbejdet, grundloven og forretningsordenen|ministeransvar"
87631,"folketingsarbejdet, grundloven og forretningsordenen|ministeransvar"
87701,COVID-19 pandemien
87893,politi og våben
87894,ældre
87895,psykiatri
87896,ophavsret
87897,boligpolitik
87898,aktiv beskæftigelsesindsats
87899,indvandrere og integration
87900,ophold og visum
87902,selskaber og fonde
87904,dagtilbud|folkeskolen
87919,COVID-19 pandemien
87983,COVID-19 pandemien|dyr og dyrevelfærd
88132,COVID-19 pandemien|moms 
88136,aktiv beskæftigelsesindsats
88142,civilret
88314,COVID-19 pandemien|arbejdsløshedsforsikring og dagpenge|arbejdsmarkedspolitik og beskæftigelsespolitik
88315,COVID-19 pandemien|arbejdsløshedsforsikring og dagpenge|arbejdsmarkedspolitik og beskæftigelsespolitik
88360,naturbeskyttelse og kystsikring
88361,indfødsrets og naturalisering
88362,civilret
88366,retspleje og domstole
88405,alternative og vedvarende energikilder
88406,alternative og vedvarende energikilder
88412,erhvervsdrivende virksomhed
88487,EU|energiafgifter 
88489,inddrivelse
88737,COVID-19 pandemien
88770,COVID-19 pandemien|erhvervsdrivende virksomhed
88771,COVID-19 pandemien|erhvervsdrivende virksomhed
88772,COVID-19 pandemien|erhvervsdrivende virksomhed
88804,beskatning af aktier
88834,strafferet og kriminalitet
88835,politi og våben
88837,retspleje og domstole
88838,retspleje og domstole
88839,retspleje og domstole
88900,sygefravær og sygedagpenge
88958,aktiv beskæftigelsesindsats
88989,COVID-19 pandemien
88990,COVID-19 pandemien
89413,arbejdsmarkedspolitik og beskæftigelsespolitik
89569,finanspolitik
89571,finanspolitik
89627,digitalisering
89628,retspleje og domstole
89629,videregående uddannelse
89630,politi og våben
89631,valg og folkeafstemninger
89632,forvaltningsret og persondata
89633,valg og folkeafstemninger
89635,social service
89637,folkepension og førtidspension
89638,ophold og visum
89639,COVID-19 pandemien
89641,motorkøretøjer
89642,international beskatning 
89643,international beskatning 
89645,EU
89646,EU
89647,EU
89650,COVID-19 pandemien
89651,energiforsyning
89652,militært materiel
89654,erhvervsuddannelser
89655,frie grundskoler
89656,gymnasiale uddannelser
89657,klimapolitik og klimaforandringer
89659,folkeskolen|frie grundskoler|gymnasiale uddannelser
89661,folkeskolen
89663,erhvervsuddannelser
89665,vejtransport og trængsel
89667,lufttrafik
89668,vejinfrastruktur
89669,jernbaneinfrastruktur
89829,postvæsen
89830,trossamfund og menigheder
89831,boligpolitik
89832,boligpolitik
89833,boligpolitik
89960,COVID-19 pandemien
89964,syn og motorkøretøjer
89965,erhverv og arbejdsmarked
90131,Danida
90132,klimatilpasning
90133,kriminalforsorg og afsoning
90134,kommuner
90137,COVID-19 pandemien
90138,strafferet og kriminalitet
90143,vækst og konkurrenceevne
90145,familieret
90146,økonomi og bloktilskud
90149,gymnasiale uddannelser
90152,pensions- og pensionsafkastbeskatning
90209,indfødsretsprøve
90210,indfødsrets og naturalisering
90216,COVID-19 pandemien
90290,forvaltningsret og persondata
90332,COVID-19 pandemien
90368,folkeskolen
90383,skattekontrol
90384,skattekontrol
90469,skattekontrol
90470,lægemidler og apoteker
90482,rygning og rusmiddelbrug
90483,rygning og rusmiddelbrug
90518,sygefravær og sygedagpenge
90554,landbrug
90686,flygtninge og asylansøgere
90697,COVID-19 pandemien
90698,COVID-19 pandemien
90699,strafferet og kriminalitet
90725,civilret
90726,civilret
90804,ligestilling og barsel
90805,personskatter
90860,ligestilling og barsel
90943,rygning og rusmiddelbrug
90971,gods- og erhvervstransport
90972,gods- og erhvervstransport
90998,udvisning og repatriering
90999,finanspolitik
91000,transportpolitik
91001,energiforsyning
91002,international ret og menneskerettigheder|strafferet og kriminalitet
91003,spil
91124,affald og kemikalier
91125,indfødsretsprøve
91126,finansiel virksomhed
91128,landdistrikter
91129,sport og idræt
91130,dyr og dyrevelfærd
91131,olie- og naturgasindvinding
91132,politi og retsvæsen
91135,punktafgifter
91136,vejinfrastruktur
91137,jernbaneinfrastruktur
91140,køn og ligestillingsvurdering
91196,"folketingsarbejdet, grundloven og forretningsordenen"
91264,videregående uddannelse
91265,miljøpolitik og miljøbeskyttelse
91266,byfornyelse
91267,boligpolitik
91268,arbejdsmiljø og arbejdsskader
91269,produktsikkerhed og autorisation
91270,"arkiver, biblioteker og museer"
91272,udsatte voksne
91273,alternative og vedvarende energikilder
91274,energiforsyning
91277,sygdomme og sygdomsbehandling
91278,dyr og dyrevelfærd
91279,folkeskolen
91280,folkeskolen
91289,forvaltningsret og persondata
91553,flygtninge og asylansøgere
91560,vejinfrastruktur
91577,miljøpolitik og miljøbeskyttelse
91578,miljøpolitik og miljøbeskyttelse
91579,aktiv beskæftigelsesindsats
91580,aktiv beskæftigelsesindsats
91618,etik og forskning
91702,videregående uddannelse
91703,ophold og visum
91704,gods- og erhvervstransport
91706,gymnasiale uddannelser
91707,affald og renovation
91708,socialforvaltning og retssikkerhed
91709,retspleje og domstole
91710,finansiel virksomhed
91766,energiforsyning
91800,digitalisering
91806,kultur- og kunststøtte
91808,selskabsskatter 
91811,uddannelsesstøtte
91851,selskaber og fonde
91852,selskaber og fonde
91875,PET og terrorbekæmpelse
91898,COVID-19 pandemien
91899,handel og eksport
91985,flygtninge og asylansøgere|ophold og visum
91992,beskatning af fast ejendom 
91993,skattekontrol
91994,videregående uddannelse
91995,lejeboliger
91996,forvaltningsret og persondata
91998,arbejdsløshedsforsikring og dagpenge
92000,skifteret og konkurs
92002,kriminalforsorg og afsoning
92003,arbejdsmarkedspolitik og beskæftigelsespolitik
92005,sociale ydelser
92007,strafferet og kriminalitet
92008,sygehuse og akutberedskab
92009,patientrettigheder og patientsikkerhed
92010,ophold og visum
92011,ophold og visum
92012,folkeskolen
92013,indfødsrets og naturalisering
92014,folkeskolen
92015,Udlændingestyrelsen
92017,erhvervsdrivende virksomhed
92018,ophold og visum
92084,finanspolitik
92085,finanspolitik
92087,retspleje og domstole
92088,forbehold
92089,forbehold
92199,energiafgifter 
92247,folkeskolen
92306,regnskab og revision
92307,regnskab og revision
92351,folkeskolen
92352,folkeskolen
92404,arbejdsløshedsforsikring og dagpenge
92564,indvandrere og integration
92591,moms 
92593,retspleje og domstole
92594,retspleje og domstole
92595,strafferet og kriminalitet
92596,strafferet og kriminalitet
92597,strafferet og kriminalitet
92605,sundhedsfremme og sygdomsforebyggelse
92606,sundhedsfremme og sygdomsforebyggelse
92607,sundhedsfremme og sygdomsforebyggelse
92927,energiafgifter |personskatter
92928,uddannelsesstøtte
92929,sociale ydelser
93092,boligpolitik
93464,børnetilskud
93628,ejerboliger
93629,finanspolitik
93631,kontanthjælp og uddannelseshjælp|sociale forhold|socialpolitik
93632,udvalgsmeddelelser
93634,arbejdsmarkedsuddannelser
93635,udvalgsmeddelelser
93636,landbrug
93637,olie- og naturgasindvinding
93638,bestyrelser og ledelse
93688,ejerboliger
93689,ejerboliger
93890,fødevarer
93978,alternative og vedvarende energikilder
93979,vandforsyning
93980,EU
93981,menighedsråd
93982,inddrivelse
93983,international beskatning 
93985,folkeskolen
93986,erhvervsuddannelser
93987,gymnasiale uddannelser|voksen- og efteruddannelse
93988,aktiv beskæftigelsesindsats
93989,arbejdsmarkedspolitik og beskæftigelsespolitik
93990,internationale forhold
93991,selskaber og fonde
93992,konkurrence- og forbrugerforhold
93993,politi og retsvæsen
93994,politi og retsvæsen
94029,finanspolitik
94088,arbejdsmarkedspolitik og beskæftigelsespolitik
94089,indfødsrets og naturalisering
94170,energiforsyning
94171,beredskab og civile opgaver
94172,universiteter
94173,landdistrikter
94174,selvstyreordningen og Rigsfællesskabet
94176,kommuner
94177,EU
94178,finansiel virksomhed
94179,EU
94180,handel og eksport
94181,gymnasiale uddannelser
94183,regnskab og revision
94184,familieret
94185,familieret
94186,dyr og dyrevelfærd
94322,strafferet og kriminalitet
94323,politi og retsvæsen
94398,erhverv og arbejdsmarked
94399,energiafgifter 
94400,færdselsret
94560,DSB
94561,skattekontrol
94562,udvisning og repatriering
94564,arbejdsmarkedspolitik og beskæftigelsespolitik
94565,socialpolitik
94566,social service
94568,EU
94569,lægemidler og apoteker
94709,energiafgifter 
94712,sociale ydelser
94713,civilret
94714,finanspolitik
94715,finanspolitik
94716,finanspolitik
94794,energipolitik og energieffektivitet
94795,sygehuse og akutberedskab
94796,alternative og vedvarende energikilder
94797,forebyggende ældreindsatser
94798,valg og folkeafstemninger
94799,kvalitetsstandarder på ældreområdet
94800,sundhedspersonale og autorisation
94801,digital service og digital transformation
94802,digital service og digital transformation
94805,"folketingsarbejdet, grundloven og forretningsordenen"
94806,politi og våben
94807,menighedsråd
94808,trossamfund og menigheder
94809,civilret
94810,moms 
94811,miljøafgifter
94812,kulturformidling og kulturliv
94813,selskabsskatter 
94815,kulturformidling og kulturliv
94816,erhvervsudlejning
94817,selskaber og fonde
94818,gymnasiale uddannelser
94819,konkurrence- og forbrugerforhold
94820,arbejdsret og overenskomster
94821,sociale ydelser
94822,familieret
94823,folkeskolen
94828,"folketingsarbejdet, grundloven og forretningsordenen"
94882,turisme og oplevelsesøkonomi
94883,økonomi og bloktilskud
94884,lejeboliger
94912,energipolitik
94913,energipolitik
94939,gods- og erhvervstransport
94940,aktiv beskæftigelsesindsats
94941,folkeskolen
95031,affald og renovation
95032,beskatning af fast ejendom 
95033,arbejdsmarkedsbidrag
95034,beskatning af fast ejendom 
95035,indfødsrets og naturalisering
95036,ungdoms- og efterskoler
95037,rygning og rusmiddelbrug
95038,erhvervsdrivende virksomhed
95039,social service
95040,socialpolitik
95042,arbejdsløshedsforsikring og dagpenge
95094,finansiel virksomhed
95095,finansiel virksomhed
95135,ophavsret
95136,klageforhold og klagenævn
95137,erhvervsdrivende virksomhed
95138,aktiv beskæftigelsesindsats
95139,aktiv beskæftigelsesindsats
95140,international beskatning 
95171,EU
95172,EU
95173,EU
95327,pensions- og pensionsafkastbeskatning
96024,energipolitik og energieffektivitet
96025,it-løsninger og digital infrastruktur
96026,energipolitik og energieffektivitet
96027,videregående uddannelse
96028,uddannelsesstøtte
96029,Statens it
96030,kollektiv transport
96031,lufttrafik
96033,postvæsen
96034,færdselsret|gods- og erhvervstransport
96035,vejinfrastruktur
96036,faste forbindelser|vejinfrastruktur
96037,lufttrafik
96038,gods- og erhvervstransport|lufttrafik
96039,dyr og dyrevelfærd
96040,dyr og dyrevelfærd
96042,international beskatning 
96043,energiafgifter 
96044,valg og folkeafstemninger
96045,folkeskolen|undervisning til unge med særlige behov
96046,erhvervsuddannelser
96048,folkeskolen|undervisning til unge med særlige behov
96049,arbejdsmarkedspolitik og beskæftigelsespolitik
96050,finansiel virksomhed
96051,sundhed og sociale forhold
96052,EU
96053,byggeri
96054,erhvervsdrivende virksomhed
96200,sundhedspersonale og autorisation
96201,skifteret og konkurs
96255,international ret og menneskerettigheder
96356,indfødsrets og naturalisering
96357,arbejdsmarkedspensioner 
96361,COVID-19 pandemien
96448,medier
96449,arbejdsmiljø og arbejdsskader
96451,arbejdsmarkedspolitik og beskæftigelsespolitik
96526,folkekirken
96528,voksen- og efteruddannelse
96530,kunstig befrugtning
96531,lejeboliger
96532,retspleje og domstole
96612,universiteter
96613,energiafgifter 
96614,indvandrere og integration
96615,dagtilbud
96616,folkepension og førtidspension
96769,inddrivelse
96770,inddrivelse
96946,dyr og dyrevelfærd
96959,kommuner
96960,kommuner
97074,dagtilbud|folkeskolen
97075,miljøpolitik og miljøbeskyttelse
97086,databeskyttelse og dataetik
97120,fysisk planlægning
97121,fysisk planlægning
97137,administration
97167,socialpolitik
97168,finansiel virksomhed
97216,arbejdsmarkedspolitik og beskæftigelsespolitik
97217,politi og retsvæsen
97263,flygtninge og asylansøgere
97301,personskatter
97302,personskatter
97303,finanspolitik
97336,jernbaneinfrastruktur
97337,spil
97409,ligebehandling
97410,erhvervsdrivende virksomhed
97411,vandforsyning
97412,vand- og havmiljø
97413,"fiskeri, fangst og landbrug"
97415,social service
97416,værdighed og ældrepolitik
97417,transportpolitik
97418,udvisning og repatriering
97492,boligpolitik
97634,energiforsyning
97635,energiforsyning
97636,vejtransport og trængsel
97638,faste forbindelser
97645,dagtilbud
97646,vand- og havmiljø
97647,produktsikkerhed og autorisation
97648,politi og våben
97649,finansiel virksomhed
97650,konkurrence- og forbrugerforhold
97651,retspleje og domstole
97652,psykiatri
97653,psykiatri
97654,forvaltningsret og persondata
97655,rygning og rusmiddelbrug
97656,lægemidler og apoteker
97853,retspleje og domstole
97854,folkeskolen
97914,vækst
97916,alternative og vedvarende energikilder
97917,undersøgelseskommissioner
97918,politi og retsvæsen
97919,retspleje og domstole
97920,ophavsret
97921,arbejdsmiljø og arbejdsskader
97922,alternative og vedvarende energikilder
97923,arbejdsmarkedspensioner 
97924,vejinfrastruktur
97925,personskatter
97926,folkeskolen
97927,ophold og visum
97928,folkeskolen
97999,retspleje og domstole
98000,politi og retsvæsen
98037,moms 
98038,moms 
98039,moms 
98107,kontanthjælp og uddannelseshjælp
98108,familiesammenføring
98109,hverv og økonomiske interesser
98110,hverv og økonomiske interesser
98111,finansiel virksomhed
98112,hverv og økonomiske interesser
98113,medier
98114,strafferet og kriminalitet
98115,patientrettigheder og patientsikkerhed
98264,alternative og vedvarende energikilder
98265,sundhedspersonale og autorisation
98267,rygning og rusmiddelbrug
98268,uddannelsesstøtte
98269,lægemidler og apoteker
98270,indfødsrets og naturalisering
98271,udvalgsarbejde og -meddelelser
98272,medier
98273,klageforhold og klagenævn
98274,sociale ydelser
98275,handel og eksport
98276,konkurrence- og forbrugerforhold
98278,arbejdsmarkedspolitik og beskæftigelsespolitik
98279,lejeboliger
98280,byfornyelse
98281,byfornyelse
98362,energiforsyning
98363,strafferet og kriminalitet
98364,beskatning af fast ejendom 
98365,social service
98366,international beskatning 
98367,energiafgifter 
98368,familieret
98369,energiafgifter 
98370,energiafgifter 
98388,sundhedsfremme og sygdomsforebyggelse
98564,formueret og tinglysning
98626,folkepension og førtidspension
98628,alternative og vedvarende energikilder
99215,klageinstanser og klagesager
99218,økonomi og finans
99219,skattekontrol
99220,spil
99222,motorkøretøjer
99224,virksomhedsskat
99225,virksomhedsskat
99226,olie- og naturgasindvinding
99227,alternative og vedvarende energikilder
99228,energipolitik og energieffektivitet
99230,transportpolitik
99231,kollektiv transport
99233,vejinfrastruktur
99234,gods- og erhvervstransport
99236,dyr og dyrevelfærd
99237,naturbeskyttelse og kystsikring
99238,Udlændingestyrelsen
99274,ophold og visum
99275,erhvervsuddannelser
99276,erhvervsuddannelser
99277,voksen- og efteruddannelse
99279,folkeskolen
99280,folkeskolen
99281,folkeskolen
99282,dagtilbud
99283,arbejdsmarkedspolitik og beskæftigelsespolitik
99285,arbejdsmarkedspolitik og beskæftigelsespolitik
99286,sociale ydelser
99287,aktiv beskæftigelsesindsats
99288,bestyrelser og ledelse
99289,affald og kemikalier
99290,affald og kemikalier|miljøpolitik og miljøbeskyttelse
99292,sø- og skibsfart
99295,medier
99298,civilret
99299,politi og retsvæsen
99300,sundhedsfremme og sygdomsforebyggelse
