vote_id,member_id,position,country_code,ep_group,source
1,28161,AGAINST,DNK,Group of the Greens/European Free Alliance,votewatch
1,96705,FOR,DNK,Group of the European People's Party (Christian Democrats),votewatch
1,28154,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
1,124878,AGAINST,DNK,European Conservatives and Reformists Group,votewatch
1,122885,AGAINST,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
1,124876,AGAINST,DNK,Non-attached Members,votewatch
1,124870,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
1,96663,AGAINST,DNK,European Conservatives and Reformists Group,votewatch
1,124872,FOR,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
1,96710,FOR,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
1,37312,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
1,124880,FOR,DNK,,votewatch
1,124875,AGAINST,DNK,European Conservatives and Reformists Group,votewatch
1,96709,DID_NOT_VOTE,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
2,28161,AGAINST,DNK,Group of the Greens/European Free Alliance,votewatch
2,96705,AGAINST,DNK,Group of the European People's Party (Christian Democrats),votewatch
2,28154,AGAINST,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
2,124878,AGAINST,DNK,European Conservatives and Reformists Group,votewatch
2,122885,FOR,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
2,124876,AGAINST,DNK,Non-attached Members,votewatch
2,124870,AGAINST,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
2,96663,AGAINST,DNK,European Conservatives and Reformists Group,votewatch
2,124872,AGAINST,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
2,96710,AGAINST,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
2,37312,AGAINST,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
2,124880,AGAINST,DNK,,votewatch
2,124875,AGAINST,DNK,European Conservatives and Reformists Group,votewatch
2,96709,DID_NOT_VOTE,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
3,28161,FOR,DNK,Group of the Greens/European Free Alliance,votewatch
3,96705,AGAINST,DNK,Group of the European People's Party (Christian Democrats),votewatch
3,28154,AGAINST,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
3,124878,AGAINST,DNK,European Conservatives and Reformists Group,votewatch
3,122885,FOR,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
3,124876,AGAINST,DNK,Non-attached Members,votewatch
3,124870,AGAINST,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
3,96663,AGAINST,DNK,European Conservatives and Reformists Group,votewatch
3,124872,AGAINST,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
3,96710,AGAINST,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
3,37312,AGAINST,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
3,124880,AGAINST,DNK,,votewatch
3,124875,AGAINST,DNK,European Conservatives and Reformists Group,votewatch
3,96709,DID_NOT_VOTE,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
4,28161,FOR,DNK,Group of the Greens/European Free Alliance,votewatch
4,96705,AGAINST,DNK,Group of the European People's Party (Christian Democrats),votewatch
4,28154,AGAINST,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
4,124878,AGAINST,DNK,European Conservatives and Reformists Group,votewatch
4,122885,ABSTENTION,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
4,124876,AGAINST,DNK,Non-attached Members,votewatch
4,124870,AGAINST,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
4,96663,AGAINST,DNK,European Conservatives and Reformists Group,votewatch
4,124872,AGAINST,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
4,96710,AGAINST,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
4,37312,AGAINST,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
4,124880,AGAINST,DNK,,votewatch
4,124875,AGAINST,DNK,European Conservatives and Reformists Group,votewatch
4,96709,DID_NOT_VOTE,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
5,28161,FOR,DNK,Group of the Greens/European Free Alliance,votewatch
5,96705,FOR,DNK,Group of the European People's Party (Christian Democrats),votewatch
5,28154,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
5,124878,FOR,DNK,European Conservatives and Reformists Group,votewatch
5,122885,AGAINST,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
5,124876,FOR,DNK,Non-attached Members,votewatch
5,124870,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
5,96663,FOR,DNK,European Conservatives and Reformists Group,votewatch
5,124872,FOR,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
5,96710,FOR,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
5,37312,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
5,124880,FOR,DNK,,votewatch
5,124875,FOR,DNK,European Conservatives and Reformists Group,votewatch
5,96709,DID_NOT_VOTE,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
6,28161,FOR,DNK,Group of the Greens/European Free Alliance,votewatch
6,96705,AGAINST,DNK,Group of the European People's Party (Christian Democrats),votewatch
6,28154,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
