Unnamed: 0,typeid_x,afstemningid,aktørid,party,dato
456825,1,4444,647,Venstre,2007-10-04 10:00:00
456826,2,4444,215,Enhedslisten,2007-10-04 10:00:00
456827,2,4444,856,Enhedslisten,2007-10-04 10:00:00
456828,1,4444,149,Det Konservative Folkeparti,2007-10-04 10:00:00
456829,1,4444,350,Venstre,2007-10-04 10:00:00
456830,1,4444,49,Venstre,2007-10-04 10:00:00
456831,1,4444,183,Danmarksdemokraterne,2007-10-04 10:00:00
456832,1,4444,94,Venstre,2007-10-04 10:00:00
456833,1,4444,3084,Venstre,2007-10-04 10:00:00
456834,1,4444,259,Venstre,2007-10-04 10:00:00
456835,1,4444,124,Dansk Folkeparti,2007-10-04 10:00:00
456836,1,4444,664,Uden for folketingsgrupperne,2007-10-04 10:00:00
456837,1,4444,1618,Dansk Folkeparti,2007-10-04 10:00:00
456838,1,4444,77,Uden for folketingsgrupperne,2007-10-04 10:00:00
456839,1,4444,211,Dansk Folkeparti,2007-10-04 10:00:00
456840,1,4444,3089,Venstre,2007-10-04 10:00:00
456841,1,4444,34,Danmarksdemokraterne,2007-10-04 10:00:00
456842,2,4444,95,Socialistisk Folkeparti,2007-10-04 10:00:00
456843,1,4444,265,Venstre,2007-10-04 10:00:00
456844,2,4444,1444,Socialistisk Folkeparti,2007-10-04 10:00:00
456845,1,4444,70,Dansk Folkeparti,2007-10-04 10:00:00
456846,1,4444,2103,Venstre,2007-10-04 10:00:00
456847,2,4444,1883,Socialistisk Folkeparti,2007-10-04 10:00:00
456848,1,4444,660,Venstre,2007-10-04 10:00:00
456849,1,4444,1461,Venstre,2007-10-04 10:00:00
456850,1,4444,173,Venstre,2007-10-04 10:00:00
456851,1,4444,178,Venstre,2007-10-04 10:00:00
456852,1,4444,210,Venstre,2007-10-04 10:00:00
456853,1,4444,1378,Kristendemokraterne,2007-10-04 10:00:00
456854,1,4444,1882,Det Konservative Folkeparti,2007-10-04 10:00:00
456855,1,4444,1777,Dansk Folkeparti,2007-10-04 10:00:00
456856,1,4444,1745,Venstre,2007-10-04 10:00:00
456857,1,4444,676,Dansk Folkeparti,2007-10-04 10:00:00
456858,1,4444,1431,Dansk Folkeparti,2007-10-04 10:00:00
456859,1,4444,677,Dansk Folkeparti,2007-10-04 10:00:00
456860,1,4444,64,Venstre,2007-10-04 10:00:00
456861,1,4444,657,Venstre,2007-10-04 10:00:00
456862,1,4444,217,Venstre,2007-10-04 10:00:00
456863,1,4444,646,Venstre,2007-10-04 10:00:00
456864,1,4444,645,Venstre,2007-10-04 10:00:00
456865,1,4444,238,Dansk Folkeparti,2007-10-04 10:00:00
456866,1,4444,83,Det Konservative Folkeparti,2007-10-04 10:00:00
456867,1,4444,279,Venstre,2007-10-04 10:00:00
456868,1,4444,1249,Det Konservative Folkeparti,2007-10-04 10:00:00
456869,1,4444,649,Det Konservative Folkeparti,2007-10-04 10:00:00
456870,1,4444,193,Venstre,2007-10-04 10:00:00
456871,1,4444,662,Dansk Folkeparti,2007-10-04 10:00:00
456872,1,4444,1829,Venstre,2007-10-04 10:00:00
456873,1,4444,80,Venstre,2007-10-04 10:00:00
456874,1,4444,206,Venstre,2007-10-04 10:00:00
456875,1,4444,234,Venstre,2007-10-04 10:00:00
456876,1,4444,145,Moderaterne,2007-10-04 10:00:00
456877,1,4444,725,Venstre,2007-10-04 10:00:00
456878,1,4444,125,Venstre,2007-10-04 10:00:00
456879,1,4444,82,Danmarksdemokraterne,2007-10-04 10:00:00
456880,1,4444,1769,Dansk Folkeparti,2007-10-04 10:00:00
456881,2,4444,226,Socialdemokratiet,2007-10-04 10:00:00
456882,1,4444,182,Danmarksdemokraterne,2007-10-04 10:00:00
456883,1,4444,296,Venstre,2007-10-04 10:00:00
456884,1,4444,1749,Venstre,2007-10-04 10:00:00
456885,1,4444,1916,Det Konservative Folkeparti,2007-10-04 10:00:00
456886,1,4445,1891,Socialdemokratiet,2007-10-11 10:00:00
456887,1,4445,117,Uden for folketingsgrupperne,2007-10-11 10:00:00
456888,1,4445,164,Venstre,2007-10-11 10:00:00
456889,1,4445,126,Venstre,2007-10-11 10:00:00
456890,1,4445,258,Socialdemokratiet,2007-10-11 10:00:00
456891,1,4445,351,Socialdemokratiet,2007-10-11 10:00:00
456892,1,4445,647,Venstre,2007-10-11 10:00:00
456893,1,4445,650,Socialdemokratiet,2007-10-11 10:00:00
456894,1,4445,1881,Radikale Venstre,2007-10-11 10:00:00
456895,1,4445,1778,Socialdemokratiet,2007-10-11 10:00:00
456896,2,4445,856,Enhedslisten,2007-10-11 10:00:00
456897,1,4445,149,Det Konservative Folkeparti,2007-10-11 10:00:00
456898,1,4445,1455,Socialdemokratiet,2007-10-11 10:00:00
456899,1,4445,49,Venstre,2007-10-11 10:00:00
456900,2,4445,4428,Enhedslisten,2007-10-11 10:00:00
456901,1,4445,220,Socialdemokratiet,2007-10-11 10:00:00
456902,2,4445,183,Danmarksdemokraterne,2007-10-11 10:00:00
456903,1,4445,1325,Socialdemokratiet,2007-10-11 10:00:00
456904,1,4445,94,Venstre,2007-10-11 10:00:00
