Unnamed: 0,typeid_x,afstemningid,aktørid,party,dato
744923,1,7154,50,Uden for folketingsgrupperne,2019-06-21 13:00:00
744924,1,7154,49,Venstre,2019-06-21 13:00:00
744925,1,7154,220,Socialdemokratiet,2019-06-21 13:00:00
744926,1,7154,183,Danmarksdemokraterne,2019-06-21 13:00:00
744927,1,7154,77,Uden for folketingsgrupperne,2019-06-21 13:00:00
744928,1,7154,184,Socialdemokratiet,2019-06-21 13:00:00
744929,1,7154,121,Socialistisk Folkeparti,2019-06-21 13:00:00
744930,1,7154,43,Socialistisk Folkeparti,2019-06-21 13:00:00
744931,1,7154,93,Venstre,2019-06-21 13:00:00
744932,1,7154,120,Socialdemokratiet,2019-06-21 13:00:00
744933,1,7154,138,Socialdemokratiet,2019-06-21 13:00:00
744934,1,7154,197,Socialdemokratiet,2019-06-21 13:00:00
744935,1,7154,265,Venstre,2019-06-21 13:00:00
744936,1,7154,246,Socialdemokratiet,2019-06-21 13:00:00
744937,1,7154,244,Socialdemokratiet,2019-06-21 13:00:00
744938,1,7154,199,Socialistisk Folkeparti,2019-06-21 13:00:00
744939,1,7154,271,Venstre,2019-06-21 13:00:00
744940,1,7154,260,Socialdemokratiet,2019-06-21 13:00:00
744941,1,7154,178,Venstre,2019-06-21 13:00:00
744942,1,7154,154,Socialdemokratiet,2019-06-21 13:00:00
744943,1,7154,180,Venstre,2019-06-21 13:00:00
744944,1,7154,247,Sambandsflokkurin,2019-06-21 13:00:00
744945,1,7154,668,Uden for folketingsgrupperne,2019-06-21 13:00:00
744946,1,7154,252,Dansk Folkeparti,2019-06-21 13:00:00
744947,1,7154,38,Socialdemokratiet,2019-06-21 13:00:00
744948,1,7154,352,Socialdemokratiet,2019-06-21 13:00:00
744949,1,7154,24,Venstre,2019-06-21 13:00:00
744950,1,7154,257,Socialdemokratiet,2019-06-21 13:00:00
744951,1,7154,217,Venstre,2019-06-21 13:00:00
744952,1,7154,130,Venstre,2019-06-21 13:00:00
744953,1,7154,224,Socialdemokratiet,2019-06-21 13:00:00
744954,1,7154,80,Venstre,2019-06-21 13:00:00
744955,1,7154,97,Socialdemokratiet,2019-06-21 13:00:00
744956,1,7154,264,Socialdemokratiet,2019-06-21 13:00:00
744957,1,7154,82,Danmarksdemokraterne,2019-06-21 13:00:00
744958,1,7154,187,Socialdemokratiet,2019-06-21 13:00:00
744959,1,7154,48,Danmarksdemokraterne,2019-06-21 13:00:00
744960,1,7154,296,Venstre,2019-06-21 13:00:00
744961,1,7154,116,Radikale Venstre,2019-06-21 13:00:00
744962,1,7154,206,Venstre,2019-06-21 13:00:00
744963,1,7154,182,Danmarksdemokraterne,2019-06-21 13:00:00
744964,1,7154,72,Venstre,2019-06-21 13:00:00
744965,1,7154,164,Venstre,2019-06-21 13:00:00
744966,1,7154,118,Socialdemokratiet,2019-06-21 13:00:00
744967,1,7154,113,Danmarksdemokraterne,2019-06-21 13:00:00
744968,1,7154,263,Dansk Folkeparti,2019-06-21 13:00:00
744969,1,7154,225,Alternativet,2019-06-21 13:00:00
744970,1,7154,207,Venstre,2019-06-21 13:00:00
744971,1,7154,88,Venstre,2019-06-21 13:00:00
744972,1,7154,286,Socialdemokratiet,2019-06-21 13:00:00
744973,1,7154,200,Venstre,2019-06-21 13:00:00
744974,1,7154,189,Det Konservative Folkeparti,2019-06-21 13:00:00
744975,1,7154,127,Venstre,2019-06-21 13:00:00
744976,1,7154,44,Enhedslisten,2019-06-21 13:00:00
744977,1,7154,213,Socialdemokratiet,2019-06-21 13:00:00
744978,1,7154,160,Socialdemokratiet,2019-06-21 13:00:00
744979,1,7154,102,Venstre,2019-06-21 13:00:00
744980,1,7154,208,Socialdemokratiet,2019-06-21 13:00:00
744981,1,7154,78,Uden for folketingsgrupperne,2019-06-21 13:00:00
744982,1,7154,266,Socialdemokratiet,2019-06-21 13:00:00
744983,1,7154,181,Socialdemokratiet,2019-06-21 13:00:00
744984,1,7154,110,Enhedslisten,2019-06-21 13:00:00
744985,1,7154,168,Venstre,2019-06-21 13:00:00
744986,1,7154,100,Radikale Venstre,2019-06-21 13:00:00
744987,1,7154,59,Radikale Venstre,2019-06-21 13:00:00
744988,1,7154,219,Socialistisk Folkeparti,2019-06-21 13:00:00
744989,1,7154,84,Socialdemokratiet,2019-06-21 13:00:00
744990,1,7154,112,Radikale Venstre,2019-06-21 13:00:00
744991,1,7154,172,Socialdemokratiet,2019-06-21 13:00:00
744992,1,7154,69,Enhedslisten,2019-06-21 13:00:00
744993,1,7154,191,Radikale Venstre,2019-06-21 13:00:00
744994,1,7154,12,Socialdemokratiet,2019-06-21 13:00:00
744995,1,7154,192,Venstre,2019-06-21 13:00:00
744996,1,7154,141,Radikale Venstre,2019-06-21 13:00:00
744997,1,7154,366,Socialdemokratiet,2019-06-21 13:00:00
744998,1,7154,214,Socialdemokratiet,2019-06-21 13:00:00
744999,1,7154,167,Socialdemokratiet,2019-06-21 13:00:00
745000,1,7154,15793,Det Konservative Folkeparti,2019-06-21 13:00:00
