member_id,group_code,term,start_date,end_date,code,label,short_label
28161,GREEN_EFA,9,2019-07-02,2024-07-15,GREEN_EFA,Greens/European Free Alliance,Greens/EFA
37312,SD,9,2019-07-02,2024-07-15,SD,Progressive Alliance of Socialists and Democrats,S&D
96709,RENEW,9,2019-07-02,2024-07-15,RENEW,Renew Europe,Renew
101585,SD,9,2019-07-02,2024-07-15,SD,Progressive Alliance of Socialists and Democrats,S&D
124872,RENEW,9,2019-07-02,2024-07-15,RENEW,Renew Europe,Renew
124875,ID,9,2022-11-22,2024-07-15,ID,Identity and Democracy,Identity and Democracy
197515,EPP,9,2019-07-02,2024-07-15,EPP,European People’s Party,EPP
197555,RENEW,9,2019-07-02,2022-11-14,RENEW,Renew Europe,Renew
197558,RENEW,9,2019-07-02,2024-07-15,RENEW,Renew Europe,Renew
197567,RENEW,9,2019-07-02,2024-07-15,RENEW,Renew Europe,Renew
197570,ID,9,2019-07-02,2022-11-14,ID,Identity and Democracy,Identity and Democracy
197571,GUE_NGL,9,2019-07-02,2020-12-17,GUE_NGL,The Left in the European Parliament,The Left
197571,GUE_NGL,9,2020-12-18,2024-07-15,GUE_NGL,The Left in the European Parliament,The Left
197573,GREEN_EFA,9,2019-07-02,2022-01-10,GREEN_EFA,Greens/European Free Alliance,Greens/EFA
197573,GREEN_EFA,9,2022-01-11,2024-07-15,GREEN_EFA,Greens/European Free Alliance,Greens/EFA
199941,SD,9,2019-07-02,2024-07-15,SD,Progressive Alliance of Socialists and Democrats,S&D
204331,RENEW,9,2020-02-01,2022-11-14,RENEW,Renew Europe,Renew
239972,RENEW,9,2022-11-22,2024-07-15,RENEW,Renew Europe,Renew
239973,RENEW,9,2022-11-22,2024-07-15,RENEW,Renew Europe,Renew
