vote_id,member_id,position,country_code,group_code
108532,28161,AGAINST,DNK,GREEN_EFA
108532,37312,FOR,DNK,SD
108532,96709,DID_NOT_VOTE,DNK,RENEW
108532,101585,FOR,DNK,SD
108532,124872,FOR,DNK,RENEW
108532,197515,FOR,DNK,EPP
108532,197555,FOR,DNK,RENEW
108532,197558,FOR,DNK,RENEW
108532,197567,FOR,DNK,RENEW
108532,197570,ABSTENTION,DNK,ID
108532,197571,AGAINST,DNK,GUE_NGL
108532,197573,ABSTENTION,DNK,GREEN_EFA
108532,199941,DID_NOT_VOTE,DNK,SD
108568,28161,FOR,DNK,GREEN_EFA
108568,37312,FOR,DNK,SD
108568,96709,FOR,DNK,RENEW
108568,101585,FOR,DNK,SD
108568,124872,FOR,DNK,RENEW
108568,197515,FOR,DNK,EPP
108568,197555,FOR,DNK,RENEW
108568,197558,FOR,DNK,RENEW
108568,197567,FOR,DNK,RENEW
108568,197570,FOR,DNK,ID
108568,197571,AGAINST,DNK,GUE_NGL
108568,197573,FOR,DNK,GREEN_EFA
108568,199941,FOR,DNK,SD
108660,28161,FOR,DNK,GREEN_EFA
108660,37312,FOR,DNK,SD
108660,96709,FOR,DNK,RENEW
108660,101585,FOR,DNK,SD
108660,124872,FOR,DNK,RENEW
108660,197515,FOR,DNK,EPP
108660,197555,FOR,DNK,RENEW
108660,197558,FOR,DNK,RENEW
108660,197567,FOR,DNK,RENEW
108660,197570,AGAINST,DNK,ID
108660,197571,FOR,DNK,GUE_NGL
108660,197573,FOR,DNK,GREEN_EFA
108660,199941,FOR,DNK,SD
108749,28161,FOR,DNK,GREEN_EFA
108749,37312,FOR,DNK,SD
108749,96709,FOR,DNK,RENEW
108749,101585,FOR,DNK,SD
108749,124872,FOR,DNK,RENEW
108749,197515,FOR,DNK,EPP
108749,197555,FOR,DNK,RENEW
108749,197558,FOR,DNK,RENEW
108749,197567,FOR,DNK,RENEW
108749,197570,FOR,DNK,ID
108749,197571,FOR,DNK,GUE_NGL
108749,197573,FOR,DNK,GREEN_EFA
108749,199941,FOR,DNK,SD
108763,28161,FOR,DNK,GREEN_EFA
108763,37312,FOR,DNK,SD
108763,96709,FOR,DNK,RENEW
108763,101585,FOR,DNK,SD
108763,124872,FOR,DNK,RENEW
108763,197515,FOR,DNK,EPP
108763,197555,FOR,DNK,RENEW
108763,197558,FOR,DNK,RENEW
108763,197567,FOR,DNK,RENEW
108763,197570,FOR,DNK,ID
108763,197571,FOR,DNK,GUE_NGL
108763,197573,FOR,DNK,GREEN_EFA
108763,199941,FOR,DNK,SD
108774,28161,ABSTENTION,DNK,GREEN_EFA
108774,37312,FOR,DNK,SD
108774,96709,FOR,DNK,RENEW
108774,101585,FOR,DNK,SD
108774,124872,FOR,DNK,RENEW
108774,197515,FOR,DNK,EPP
108774,197555,FOR,DNK,RENEW
108774,197558,FOR,DNK,RENEW
108774,197567,FOR,DNK,RENEW
108774,197570,FOR,DNK,ID
108774,197571,AGAINST,DNK,GUE_NGL
108774,197573,FOR,DNK,GREEN_EFA
108774,199941,FOR,DNK,SD
108806,28161,FOR,DNK,GREEN_EFA
108806,37312,FOR,DNK,SD
108806,96709,FOR,DNK,RENEW
108806,101585,FOR,DNK,SD
108806,124872,FOR,DNK,RENEW
108806,197515,FOR,DNK,EPP
108806,197555,FOR,DNK,RENEW
108806,197558,DID_NOT_VOTE,DNK,RENEW
108806,197567,FOR,DNK,RENEW
108806,197570,AGAINST,DNK,ID
108806,197571,FOR,DNK,GUE_NGL
108806,197573,FOR,DNK,GREEN_EFA
108806,199941,FOR,DNK,SD
108807,28161,AGAINST,DNK,GREEN_EFA
108807,37312,AGAINST,DNK,SD
108807,96709,AGAINST,DNK,RENEW
108807,101585,FOR,DNK,SD
108807,124872,AGAINST,DNK,RENEW
108807,197515,AGAINST,DNK,EPP
108807,197555,AGAINST,DNK,RENEW
108807,197558,DID_NOT_VOTE,DNK,RENEW
108807,197567,AGAINST,DNK,RENEW
108807,197570,AGAINST,DNK,ID
108807,197571,AGAINST,DNK,GUE_NGL
108807,197573,AGAINST,DNK,GREEN_EFA
108807,199941,AGAINST,DNK,SD
108830,28161,FOR,DNK,GREEN_EFA
108830,37312,FOR,DNK,SD
108830,96709,FOR,DNK,RENEW
108830,101585,FOR,DNK,SD
108830,124872,FOR,DNK,RENEW
108830,197515,FOR,DNK,EPP
108830,197555,FOR,DNK,RENEW
108830,197558,DID_NOT_VOTE,DNK,RENEW
108830,197567,FOR,DNK,RENEW
108830,197570,ABSTENTION,DNK,ID
108830,197571,ABSTENTION,DNK,GUE_NGL
108830,197573,FOR,DNK,GREEN_EFA
108830,199941,FOR,DNK,SD
108838,28161,FOR,DNK,GREEN_EFA
108838,37312,ABSTENTION,DNK,SD
108838,96709,AGAINST,DNK,RENEW
108838,101585,ABSTENTION,DNK,SD
108838,124872,FOR,DNK,RENEW
108838,197515,AGAINST,DNK,EPP
108838,197555,DID_NOT_VOTE,DNK,RENEW
108838,197558,DID_NOT_VOTE,DNK,RENEW
108838,197567,FOR,DNK,RENEW
108838,197570,AGAINST,DNK,ID
108838,197571,AGAINST,DNK,GUE_NGL
108838,197573,FOR,DNK,GREEN_EFA
108838,199941,ABSTENTION,DNK,SD
108840,28161,FOR,DNK,GREEN_EFA
108840,37312,FOR,DNK,SD
108840,96709,AGAINST,DNK,RENEW
108840,101585,FOR,DNK,SD
108840,124872,FOR,DNK,RENEW
108840,197515,AGAINST,DNK,EPP
108840,197555,AGAINST,DNK,RENEW
108840,197558,DID_NOT_VOTE,DNK,RENEW
108840,197567,FOR,DNK,RENEW
108840,197570,AGAINST,DNK,ID
108840,197571,FOR,DNK,GUE_NGL
108840,197573,FOR,DNK,GREEN_EFA
108840,199941,FOR,DNK,SD
108842,28161,FOR,DNK,GREEN_EFA
108842,37312,FOR,DNK,SD
108842,96709,AGAINST,DNK,RENEW
108842,101585,FOR,DNK,SD
108842,124872,FOR,DNK,RENEW
108842,197515,AGAINST,DNK,EPP
108842,197555,AGAINST,DNK,RENEW
108842,197558,DID_NOT_VOTE,DNK,RENEW
108842,197567,FOR,DNK,RENEW
108842,197570,AGAINST,DNK,ID
108842,197571,FOR,DNK,GUE_NGL
108842,197573,FOR,DNK,GREEN_EFA
108842,199941,FOR,DNK,SD
108844,28161,FOR,DNK,GREEN_EFA
108844,37312,FOR,DNK,SD
108844,96709,AGAINST,DNK,RENEW
108844,101585,FOR,DNK,SD
108844,124872,AGAINST,DNK,RENEW
108844,197515,AGAINST,DNK,EPP
108844,197555,AGAINST,DNK,RENEW
108844,197558,DID_NOT_VOTE,DNK,RENEW
108844,197567,AGAINST,DNK,RENEW
108844,197570,AGAINST,DNK,ID
