id,year,majortopic,subtopic,description,filter_eu,Session,Number,Scope,Day,Month,DK_New_Code,DK_old_code,calendar_year,Date,Type,Opening
8487,1990,5,501,Forslag til lov om ændring af lov om arbejdsskadeforsikring (nedsættelse af kompensationer for arbejdsgivernes udgifter til arbejdsskadeforsikring).,0,26,17,10,24,10,501,501,1990,10/24/1990,1,0
580,1990,12,1200,Om den ressourcemæssige situation ved domstolene og kriminalforsorgen,0,26,269,0,7,11,1200,1200,1990,11/7/1990,3,0
1619,1990,20,2012,Indstilling fra Udvalget til Pr�velse af Valgene,0,27,270001,2,27,12,2012,2012,1990,12/27/1990,2,0
8556,1990,3,342,Forslag til lov om registrering af narkomaner.,0,26,72,0,15,11,342,343,1990,11/15/1990,1,0
8519,1990,1,107,Forslag til lov om ophævelse af personskatteloven (ophævelse af 6 %-skatten mv.).,0,26,73,0,15,11,107,107,1990,11/15/1990,1,0
1593,1990,5,501,Forslag til folketingsbeslutning om brugerbetaling for Arbejdstilsynets ydelser,0,26,260009,25,23,10,501,501,1990,10/23/1990,2,0
1595,1990,19,1926,Forslag til folketingsbeslutning om beretning til Folketinget ang�ende Nordisk R�ds virksmhed i 1989-90.,0,26,260011,39,23,10,1926,1926,1990,10/23/1990,2,0
8537,1990,15,1502,Forslag til lov om ændring af kursgevinstloven  (beskatning af kursgevinst på fordringer og gæld i fremmed valuta).,0,26,27,11,9,10,1502,1502,1990,10/9/1990,1,0
1589,1990,15,1599,Forslag til folketingsbeslutning om kompenserende st�tte til erhvervsdrivende ved vejarbejder m.v.,0,26,260005,11,9,10,1599,1599,1990,10/9/1990,2,0
1612,1990,1,108,"Forslag til folketingsbeslutning om en aktiv, b�redygtig erhvervspolitik",0,26,260029,0,15,11,108,108,1990,11/15/1990,2,0
8532,1990,5,502,Forslag til lov om ændring af lov om arbejdstilbud til ledige (fremrykning af uddannelsesydelse til de under 25-årige mv.).,0,26,86,0,15,11,502,502,1990,11/15/1990,1,0
8499,1990,10,1007,Forslag til lov om ændring af lov om registreringsafgifter for fritidsfartøjer.,0,26,35,3,25,10,1007,1007,1990,10/25/1990,1,0
8477,1990,1,105,Forslag til midlertidig bevillingslov for finansåret 1991.,0,26,91,8,27,11,105,105,1990,11/27/1990,1,0
1618,1990,1,100,Forslag til folketingsbeslutning om reall�nssikring gennem lettelser til b�rnefamilier og lettelser for mellem- og lavindkomstgrupper samt styrkelse af virksomhedernes konkurrenceevne,0,26,260028,0,15,11,100,100,1990,11/15/1990,2,0
578,1990,10,1007,Om det internationale skibsregister,0,26,267,29,11,10,1007,1007,1990,10/11/1990,3,0
8555,1990,7,709,Forslag til lov om ændring af lov om hunde.,0,26,67,21,20,11,709,709,1990,11/20/1990,1,0
8535,1990,13,1302,Forslag til lov om ændring af social bistand (styrket beskæftigelsesindsats for unge under 25 år mv).,0,26,92,0,15,11,1302,1302,1990,11/15/1990,1,0
8550,1990,23,2300,forslag til lov om ændring af filmloven,0,26,56,10,20,11,2300,609,1990,11/20/1990,1,0
8512,1990,14,1499,Forslag til lov om ophævelse af lov om stempelafgift af topografiske kort.,0,26,60,3,14,11,1499,1499,1990,11/14/1990,1,0
8508,1990,14,1400,Forslag til lov om ændring af lov om byfornyelse og boligforbedring (tilskud ved kondemnering af ejerboliger og andelsboliger).,0,26,53,10,7,11,1400,1400,1990,11/7/1990,1,0
1620,1990,14,1400,"Forslag til folketingsbeslutning om indf�relse af fradrag for reparation, vedligeholdelse m.v. af ejer og lejerboliger.",0,27,270002,6,27,12,1400,1400,1990,12/27/1990,2,0
8492,1990,7,700,forslag til lov om naturbeskyttelse,0,26,22,5,23,10,700,700,1990,10/23/1990,1,0
8500,1990,15,1523,Forslag til lov om erstatning for skader forårsaget af stormflod.,0,26,36,6,25,10,1523,1523,1990,10/25/1990,1,0
1591,1990,6,602,Forslag til folketingsbeslutning om kommunetilskud til efterskoleophold,0,26,260007,7,10,10,602,602,1990,10/10/1990,2,0
8486,1990,15,1502,Forslag til lov  om ændring af aktieafgiftsloven.,0,26,15,4,25,10,1502,1502,1990,10/25/1990,1,0
1608,1990,10,1007,"Forslag til folketingsbeslutning om ansvar for redere af f�rger, handelsskibe og fiskerfart�jer",0,26,260024,0,14,11,1007,1007,1990,11/14/1990,2,0
8482,1990,15,1507,Forslag  til konkursskatteloven.,0,26,6,11,9,10,1507,1507,1990,10/9/1990,1,0
8539,1990,15,1502,Forslag til lov om ændring af lov om beskatning af fortjeneste ved afståelse af aktier mv og lov om en realrenteafgift af visse pensionskapitaler mv.,0,26,29,11,9,10,1502,1502,1990,10/9/1990,1,0
8485,1990,9,900,Forslag til lov om indfødsrets meddelelse.,0,26,9,8,10,10,900,230,1990,10/10/1990,1,0
8494,1990,7,711,forslag til lov om vandløb,0,26,24,5,23,10,711,711,1990,10/23/1990,1,0
8496,1990,19,1901,forslag til lov om tilskud til miljøaktiviteter i østlandene,0,26,26,19,23,10,1901,1901,1990,10/23/1990,1,0
1594,1990,19,1921,Forslag til folketingsbeslutning om oph�velse af sanktionerne over for Sydafrika,0,26,260010,31,24,10,1912,1912,1990,10/24/1990,2,0
8506,1990,7,709,Forslag til dyreværnsloven.,0,26,48,39,30,10,709,709,1990,10/30/1990,1,0
8540,1990,13,1308,Forslag til lov om ændring af lov om dagpenge ved sygdom ellerr fødsel og lov om statens uddannelsesstøtte.,0,26,30,8,30,11,1308,1308,1990,11/30/1990,1,0
8503,1990,20,2001,Forslag til lov om ændring af lov om frikommuner.,0,26,41,24,1,11,2016,2016,1990,11/1/1990,1,0
1613,1990,5,500,"Forslag til folketingsbeslutning om uddannelse og jobskabelse for unge, �get voksen- og efteruddannelse samt en arbejdsmarkeds- og tryghedsreform",0,26,260030,0,15,11,500,500,1990,11/15/1990,2,0
1622,1990,1,107,Forslag til folketingsbeslutning om en erhvervs- og familievenlig skatteoml�gning,0,27,270004,6,27,12,107,107,1990,12/27/1990,2,0
8553,1990,2,208,Forslag til lov om ændring af lov om offentlige myndigheders registre.,0,26,65,0,8,11,208,208,1990,11/8/1990,1,0
8521,1990,1,107,Forslag til lov om ændring af forskellige skattelove (nedsættelse af selskabsskatteprocenten).,0,26,75,0,15,11,107,107,1990,11/15/1990,1,0
8509,1990,13,1303,"Forslag til lov om ændring af lov om social bistand og lov om social pension (delegation til selvejende institutioner, betaling for midlertidig ophold, udbetaling af pensioner).",0,26,54,17,7,11,1303,1303,1990,11/7/1990,1,0
8630,1990,15,1500,"Forslag til lov om ændring af lov om Københavns Fondsbørs, lov om aktieselskaber og lov om forsikringsvirksomhed (insiderhandel).",0,27,85,113,14,5,1500,1500,1991,5/14/1991,1,0
8664,1990,9,900,Forslag til lov om indfødsrets meddelelse.,0,27,152,7,16,4,900,230,1991,4/16/1991,1,0
586,1990,2,202,Om handlingsplan for ligestilling,0,27,272,50,10,1,202,202,1991,1/10/1991,3,0
8611,1990,15,1502,Forslag til lov om prospekter ved første offentlige udbud af visse værdipapirer.,0,27,54,5,2,4,1502,1502,1991,4/2/1991,1,0
8561,1990,15,1502,Forslag til lov om ændring af lov om beskatning af fortjeneste ved afståelse af aktier mv. og lov om realrenteafgift af visse pensionskapitaler mv..,0,27,24,21,31,5,1502,1502,1991,5/31/1991,1,0
1640,1990,12,1208,Forslag til folketingsbeslutning om Danmarks ratifikation af FN-konventionen af 20. november 1989 om barnets rettigheder,0,27,270022,43,31,1,1208,1208,1991,1/31/1991,2,0
8581,1990,15,1502,Forslag til lov om ændring af forskellige skattelove (ophævelse af dobbeltbeskatning af aktieudbytte).,0,27,9,22,21,3,1502,1502,1991,3/21/1991,1,0
597,1990,13,1308,Om ventelister til børnepasning,0,27,2713,44,9,3,1308,1308,1991,3/9/1991,3,0
593,1990,10,1000,Om trafikkhandlinsplanen,0,27,279,37,6,2,1000,1000,1991,2/6/1991,3,0
8764,1990,19,1900,forslag til lov om ophævelse af lov om forbud mod handel med den sydafrikanske republik og namibia og af lov om forbud mod nye danske investeringer m.v. i sydafrika og namibia,0,27,139,81,29,5,1900,1900,1991,5/29/1991,1,0
8564,1990,15,1505,"Forslag til lov om ændring af selskabsskabsskatteloven (ændret overgangsbeskatning for gensiddige forskringsselskaber),",0,27,30,6,21,5,1505,1505,1991,5/21/1991,1,0
605,1990,6,600,Om 15.000 uddannelsespladser til de unge,0,27,2721,0,18,4,600,600,1991,4/18/1991,3,0
1758,1990,10,1007,Forslag til folketingsbeslutning om st�tte til driften af et s�fartsmedicinsk institut i Esbjerg,0,27,270079,26,30,4,1007,1007,1991,4/30/1991,2,0
1625,1990,6,602,Forslag til folketingsbeslutning om en for�ldreindkomstuafh�ngig uddannelsesst�tte for de 18-�rige,0,27,270007,12,15,1,602,602,1991,1/15/1991,2,0
8645,1990,4,402,forslag til lov om ændring af lov om tilskud til vikarordninger inden for jordbruget,0,27,108,15,14,5,402,402,1991,5/14/1991,1,0
8688,1990,13,1308,Forslag til lov om ændring af lov om social bistand (sikring af betaling af børns ophold i daginstitutioner mv.).,0,27,196,6,30,5,1308,1308,1991,5/30/1991,1,0
1653,1990,1,107,Forslag til folketingsbeslutning om beskatning af personer udstationeret i Danmark,0,27,270035,27,8,2,107,107,1991,2/8/1991,2,0
8698,1990,1,107,Forslag til lov om ændring af lov om afgift af øl og lov om afgift af vin og frugtvin mm.,0,27,207,27,31,5,107,107,1991,5/31/1991,1,0
1676,1990,9,900,Forslag til folketingsbeslutning om dansk tilslutning til EF-asylkonvention,1,27,270058,13,13,3,900,230,1991,3/13/1991,2,0
8662,1990,15,1500,"Forslag til lov om ændring af lov om visse selskabers aflæggelse af årsregnskaber mv. samt af lov om forsikringsvirksomhed (omlægning af regnskabsår, revisorskift mv.).",0,27,150,7,21,5,1500,1500,1991,5/21/1991,1,0
598,1990,10,1002,Om forhandlingerne om en fast forbindelse over Øresund,0,27,2714,94,13,3,1002,1002,1991,3/13/1991,3,0
8576,1990,1,107,Forslag til lov om ændring af lov om beskatning af pensionsordninger mv.,0,27,"4,3",17,23,4,107,107,1991,4/23/1991,1,0
587,1990,15,1522,Om EF's direktiv om beskyttelse af bioteknolgiske opfindelse,1,27,273,34,10,1,1522,1522,1991,1/10/1991,3,0
1740,1990,10,1010,Forslag til folketingsbeslutning om privatfinansiering af �resundsforbindelsen,0,27,270061,12,21,3,1010,1010,1991,3/21/1991,2,0
1639,1990,5,501,Forslag til folketingsbeslutning om brugerbetaling for Arbejdstilsynets ydelser,0,27,270021,17,29,1,501,501,1991,1/29/1991,2,0
1646,1990,20,2009,Forslag til folketingsbeslutning om skattepligtige personers ret til skattefradrag for udgifter til sagkyndig bistand ved udfyldelse af selvangivelsen m.v.,0,27,270028,7,5,2,2009,2009,1991,2/5/1991,2,0
8723,1990,5,502,"Forslag til lov om ændring af lov om kommunal beskæftigelsesindsats (deltidsbeskæftigelse),",0,27,21,16,15,1,502,502,1991,1/15/1991,1,0
8689,1990,12,1208,Forslag til lov om ændring af lov om børnetilskud og forskudsvis udbetaling af børnebidrag.,0,27,197,6,30,5,1208,1208,1991,5/30/1991,1,0
8676,1990,1,104,Forslag til lov om ændring af forskellige lovbestemmelser om inddrivelse af offentlige fordringer (lønindeholdelse mv).,0,27,172,17,30,5,104,104,1991,5/30/1991,1,0
8647,1990,20,2009,Forslag til lov om ændring af skattekontrolloven (indberetningspligt for faglige foreninger og arbejdsløshedskasser).,0,27,110,13,25,4,2009,2009,1991,4/25/1991,1,0
8703,1990,3,302,Forslag til lov om ændring af lov om offentlig sygesikring.,0,27,212,4,31,5,302,302,1991,5/31/1991,1,0
8734,1990,3,398,Forslag til lov om et videnskabsetisk komitésystem og behandling af biomedicinsk forskningsprodukter.,0,27,166,20,30,4,398,398,1991,4/30/1991,1,0
8628,1990,15,1522,Forslag til varemærkelov.,1,27,83,5,14,5,1522,1522,1991,5/14/1991,1,0
1678,1990,13,1304,Forslag til folketingsbeslutning om k�rselsordninger for sv�rt bev�gelsesh�mmede,0,27,270060,17,19,3,1304,1304,1991,3/19/1991,2,0
1666,1990,15,1500,Forslag til folketingsbeslutning om sk�rpelse af visse bestyrelsesmedlemers og direkt�res ansvar,0,27,270048,8,8,2,1500,1500,1991,2/8/1991,2,0
249,1990,20,2009,Om afbureaokratiseringen inden for told og skattevæsenet,0,27,2706,0,9,4,2009,2009,1991,4/9/1991,4,0
8571,1990,14,1400,Forslag til lov om leje og lov om midlertidig regulering af boligforholdene.,0,27,146,11,27,5,1400,1400,1991,5/27/1991,1,0
8705,1990,13,1308,Forslag til lov om ændring af lov om dagpenge ved sygdom eller fødsel.,0,27,45,12,21,5,1308,1308,1991,5/21/1991,1,0
8752,1990,10,1001,forslag til lov om drift af færgeruter,0,27,94,10,22,2,1001,1001,1991,2/22/1991,1,0
1626,1990,2,205,Forslag til folketingsbeslutning om anvendelse af genetiske test.,0,27,270008,21,16,1,205,205,1991,1/16/1991,2,0
