sagid,sag_nummer,domains
86329,L 120,Education
86391,L 123,Labour
84924,L 16,Social
86779,L 135 A,Social
86780,L 135 B,Social
86907,L 139 A,Economy
86585,L 131,Economy
86460,L 124,Immigration|Justice
86456,L 125,Immigration
86802,L 111 B,Justice
86586,L 132,Justice
85669,L 96,Environment
85688,L 101,Health
86451,L 130,Health
86898,L 146,Labour
86940,L 152,Health
86331,L 116,Justice
86554,L 129,Economy
86908,L 139 B,Economy
87142,L 166,Economy
86017,L 114,Education
85666,L 86,Justice
86680,L 136,Justice
86766,L 141,Justice
86763,L 140,Education
86580,L 134,Health
86018,L 113,Housing
86016,L 112,Culture
85686,L 84,Infrastructure
86328,L 117,Infrastructure
85858,L 108,Economy|Territories
86325,L 118,other
86014,L 110,Justice
85684,L 78,Education
86015,L 115,Education|Immigration
85247,L 66,Justice
85680,L 81,Immigration
87475,L 126 A,Immigration
87476,L 126 B,Immigration
85663,L 100,Economy
87499,L 186,Labour
87105,L 164,Labour
87107,L 165,Labour
84958,L 57,Social
87701,L 192,Labour
86454,L 127,Justice
85248,L 65,Justice
86824,L 143,Economy
86998,L 155,Agriculture|Environment
87108,L 162,Health
85681,L 88,Economy
86764,L 142,Economy
87103,L 161,Economy
86327,L 121,Health
87300,L 178,Economy
87291,L 172,Justice
83404,L 191,Health
81782,L 95,Environment
83692,L 199,Economy
81783,L 93,Housing
82922,L 184,Labour
82923,L 185,Labour
82591,L 167,Education
83686,L 200,Housing
82041,L 101,Justice|Territories
82039,L 104,Justice
82043,L 105,Justice
81870,L 98,Education
82236,L 123,Business|Housing
84086,L 188 A,Immigration|Labour
84087,L 188 B,Justice|Labour
83085,L 187,Immigration|Labour
82774,L 180,Immigration
83575,L 198,Business
82145,L 112,Environment
82657,L 170,Environment
82551,L 147,Agriculture
82232,L 122,Business
82542,L 149,Business
83771,L 179 A,Business
83772,L 179 B,Business
83773,L 189 A,Immigration
82772,L 176,Housing
82773,L 177,Housing
82771,L 178,Housing
82144,L 111,Immigration
83775,L 130 A,Immigration|Justice
83776,L 130 B,Justice
82592,L 166,Defence
82046,L 106,Social
84084,L 183 A,Social
84085,L 183 B,Social
82245,L 121,Infrastructure
82237,L 117,Energy
82594,L 163,Social
83083,L 186,Education|Immigration
83392,L 192,Justice|Territories
83562,L 195,Labour
84041,L 201,Labour
84102,L 202,Labour|Social
84103,L 203,Labour
84158,L 204,Labour|Social
82653,L 173,Social
83390,L 193,Social
83411,L 196,Economy|Local
83412,L 197,Social
83391,L 194,Economy|Housing
82587,L 164,Environment
82543,L 151,Infrastructure
82545,L 160,Health|Social
82921,L 182,Health|Justice
84159,L 205,Labour
82465,L 133,Health
82470,L 134,Economy|Labour
82471,L 135,Labour
83774,L 189 B,Immigration
84411,L 207,Labour
84412,L 208,Labour|Social
84630,L 211,Labour
84709,L 212,Labour
84711,L 213,Labour|Social
84833,L 214,Labour|Social
87919,L 197,Labour|Social
87106,L 163,Labour|Social
84912,L 19,Culture
86883,L 150,Economy|Europe
86997,L 154,Justice
87290,L 173,Business
87411,L 184,Agriculture|Business
86681,L 137,Economy
87305,L 167,Infrastructure
87294,L 169,Housing|Social
87409,L 185,Immigration
87899,L 202,Education|Immigration
88132,L 208,Economy
87983,L 206,Agriculture
87287,L 179,Environment
87288,L 180,Agriculture|Environment
87295,L 174,Business
87292,L 176,Business
87098,L 159,Economy|Infrastructure
86879,L 147,Social
87299,L 170,Social
88406,L 148 B,Energy
86999,L 156,Energy
87297,L 181,Agriculture
87100,L 160,Economy
87580,L 191,Business
86683,L 138,Agriculture
87408,L 183,Labour
86939,L 151,Infrastructure
87894,L 198,Social
87904,L 199,Education|Social
86457,L 128,Infrastructure
88405,L 148 A,Energy
88314,L 218,Labour|Social
88315,L 219,Labour|Social
87301,L 171,Energy
87303,L 182,Health|Territories
87898,L 196,Labour
87900,L 203,Immigration
87296,L 177,Education
88412,L 225,Business
87582,L 190,Defence|Infrastructure
87902,L 207,Business
88136,L 209,Labour|Social
86326,L 119,Economy|Europe
87893,L 195,Justice
87630,L 187,Justice
87631,L 188,Justice
87293,L 175,Business
88770,L 193 A,Business
88771,L 193 B,Business
88772,L 193 C,Environment
86582,L 133,Business|Economy
88804,L 211 A,Economy|Europe
88361,L 227,Immigration
87897,L 194,Housing|Immigration
87895,L 204,Health
88834,L 189 A,Justice
88835,L 189 B,Justice
88837,L 212 A,Justice
88838,L 212 B,Justice
88839,L 212 C,Justice|Social
88366,L 222,Justice
88362,L 223,Agriculture|Justice
88360,L 229,Environment
87896,L 205,Culture
88489,L 232,Economy
88487,L 233,Energy|Europe
88142,L 213,Justice
88737,L 234,Health
88989,L 235 A,Labour
88990,L 235 B,Health
88900,L 237,Labour|Social
88958,L 238,Labour|Social
89413,L 240,Labour
89639,L 9,Economy
89627,L 3,Economy|Infrastructure
89661,L 35,Education
89637,L 17,Social
90209,L 42 A,Immigration
90210,L 42 B,Immigration
89638,L 43,Immigration
89650,L 26,Culture
90216,L 61,Education
89663,L 34,Education
89659,L 36,Education
89656,L 37,Education
89655,L 38,Education
89633,L 24,Energy|Housing
89632,L 16,Agriculture|Justice
89964,L 91,Infrastructure
90332,L 94,Labour
89643,L 4,Economy|Foreign
89642,L 5,Economy|Foreign
89641,L 6,Economy
90384,L 7 A,Economy
90383,L 7 B,Economy
89651,L 29,Energy
89657,L 31,Energy
89647,L 13,Business
89645,L 10,Business|Justice
89646,L 11,Europe
89629,L 32,Education
89665,L 19,Infrastructure
89668,L 21,Infrastructure
89829,L 46,Infrastructure
89669,L 22,Infrastructure
89652,L 33,Defence
90483,L 44 A,Agriculture
90482,L 44 B,Health
90518,L 98,Labour
89635,L 27,Economy
89830,L 50,Culture
89667,L 20,Infrastructure
90152,L 75,Economy
89654,L 39,Education
89628,L 15,Justice
89630,L 14,Justice
90725,L 52 A,Justice
90726,L 52 B,Justice
89960,L 51,Justice
89965,L 54,Business
90143,L 70,Business
89631,L 25,Local
90134,L 58,Local
90132,L 79,Environment
90149,L 68,Education
90697,L 101,Labour
90698,L 102,Labour
90137,L 66,Agriculture
89569,L 1,Economy
89571,L 2,Economy|Local
90131,L 83,Foreign
90943,L 85 B,Economy
90470,L 97,Health
90133,L 76,Justice
90972,L 62 A,Infrastructure
90145,L 65,Social
90469,L 96,Economy
90138,L 78,Justice
90860,L 107,Labour|Social
90805,L 105,Economy
89833,L 47,Housing
89832,L 48,Housing
89831,L 49,Housing
90804,L 104,Labour
90290,L 93,Justice
90699,L 103,Justice
91553,L 145,Immigration
91577,L 114 A,Environment|Local
91578,L 114 B,Environment|Infrastructure
90368,L 95,Education
91003,L 109,Culture|Economy
91135,L 121,Economy
90999,L 108,Economy
91579,L 115 A,Labour|Social
91580,L 115 B,Labour|Social
91000,L 112,Infrastructure
91710,L 150,Business
90554,L 99,Agriculture
91278,L 132,Agriculture
91766,L 158,Energy
90998,L 113,Immigration
91125,L 127,Immigration|Justice
91851,L 117 A,Business|Social
91852,L 117 B,Europe
91126,L 118,Business
91811,L 159,Education
91136,L 123,Infrastructure
91124,L 129,Environment
91277,L 142,Health
91137,L 122,Infrastructure
91140,L 124,Social
91130,L 128,Agriculture
91268,L 134,Labour
91001,L 110,Infrastructure
91985,L 169,Immigration
91131,L 120,Energy
91265,L 141,Environment
91132,L 126,Justice|Territories
91280,L 144,Education
92088,L 193,Defence|Europe
92089,L 194,Europe
90971,L 62 B,Infrastructure
91272,L 133,Social
91704,L 160,Infrastructure|Labour
91269,L 131,Business
91002,L 111,Justice
92247,L 201,Education|Immigration
92351,L 202 A,Education|Immigration
92352,L 202 B,Economy|Immigration
91279,L 143,Education
91264,L 139,Education
91274,L 137,Education|Environment
91273,L 138,Energy
92306,L 163 A,Business
92307,L 163 B,Business
91560,L 148,Infrastructure
91709,L 156,Justice
91618,L 149,Health
91196,L 130,Justice
91875,L 166,Justice
91129,L 119,Justice|Social
91708,L 151,other
90146,L 71,Business|Territories
91128,L 116,Business
91899,L 167,Business
91898,L 168,Labour
91702,L 152,Education
91994,L 179,Education
91993,L 176,Economy
91992,L 177,Economy
